Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,124.29,0,0,110.18,135.1506,4.161765,0,0,0,0,0,0,89.9999,89.9999,0,0
0.010,S,0.010,0.010,0,0.4777159,0,45.32666,124.29,0,0,110.1782,135.1506,4.162059,0,0,0,22.0049991607666,0,0,89.9999,89.9999,0,0
0.02,S,0.02,0.01969089,0,0.4739071,0,89.81968,124.2892,0.05296635,0,110.1765,135.1506,4.162354,0,0,0,22.0049991607666,0,0,89.9999,89.9999,0,0
0.03,S,0.03,0.01969089,0,0.4739071,0,134.3127,124.2867,0.05296635,0,110.1747,135.1506,4.162648,2.58170975259963,2.58170975188699,0.0000606601531167377,22.0050149121631,0.0258171,0.0000006066015,89.9999,89.9999,0.0001290855,0.000000003033007
0.04,S,0.04,0.01969091,0,0.4739071,0,178.8057,124.2825,0.05296642,0,110.1729,135.1506,4.162943,14.101131130256,14.1011311300247,0.0000807653388831326,22.0056329611704,0.1668284,0.000001414255,89.9999,89.9999,0.001092313,0.00000001313729
0.05,S,0.05,0.01969146,0,0.4739062,0,223.2987,124.2767,0.0529693,0,110.1712,135.1506,4.163238,25.6220781104766,25.622078110278,0.000100873180978394,22.0090677977652,0.4230492,0.000002422987,89.9999,89.9999,0.004041701,0.0000000323235
0.05999999,S,0.05999999,0.01969454,0,0.4739012,0,267.7917,124.2693,0.05298526,0,110.1694,135.1506,4.163532,37.1450299471758,37.1450299469788,0.000120984526294425,22.0193409847293,0.7944995,0.000003632832,89.9999,89.9999,0.01012944,0.0000000626026
0.06999999,S,0.06999999,0.01970373,0,0.4738863,0,312.2848,124.2602,0.05303307,0,110.1676,135.1506,4.163826,48.6704512272393,48.6704512270348,0.000141100182203813,22.0422706120332,1.281204,0.000005043834,89.9999,89.9999,0.02050796,0.0000001059859
0.07999999,S,0.07999999,0.01972425,0,0.4738529,0,356.7778,124.2494,0.05313981,0,110.1659,135.1506,4.164121,60.1987533337202,60.1987533335043,0.000161220863238785,22.0854407496577,1.883192,0.000006656042,89.9999,89.9999,0.03632994,0.0000001644853
0.08999999,S,0.08999999,0.01976288,0,0.4737901,0,401.2708,124.237,0.0533411,0,110.1641,135.1506,4.164416,71.7304387632481,71.7304387630189,0.00018134744988777,22.1581348550558,2.600496,0.000008469517,89.9999,89.9999,0.05874838,0.0000002401131
