Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,124.29,0,0,110.18,132.9584,3.796393,0,0,0,0,0,0,89.9999,89.9999,0,0
0.010,S,0.010,0.010,0,0.4737773,0,45.32666,124.29,0,0,110.1786,132.9584,3.796623,0,0,0,22.0049991607666,0,0,89.9999,89.9999,0,0
0.02,S,0.02,0.01969089,0,0.4705802,0,89.81968,124.2892,0.05259453,0,110.1772,132.9584,3.796854,0,0,0,22.0049991607666,0,0,89.9999,89.9999,0,0
0.03,S,0.03,0.01969089,0,0.4705802,0,134.3127,124.2867,0.05259453,0,110.1759,132.9584,3.797084,2.58180600825797,2.58180600754535,0.000060660321114549,22.0050149132912,0.02581806,0.0000006066032,89.9999,89.9999,0.0001290903,0.000000003033016
0.04,S,0.04,0.01969091,0,0.4705802,0,178.8057,124.2825,0.05259459,0,110.1745,132.9584,3.797314,14.1012273883558,14.1012273881245,0.000080765506885205,22.0056329755777,0.1668303,0.000001414258,89.9999,89.9999,0.001092332,0.00000001313732
0.05,S,0.05,0.01969146,0,0.4705793,0,223.2987,124.2767,0.05259745,0,110.1731,132.9584,3.797544,25.6221743784691,25.6221743782705,0.000100873348997733,22.0090678515908,0.423052,0.000002422992,89.9999,89.9999,0.004041743,0.00000003232357
0.05999999,S,0.05999999,0.01969454,0,0.4705744,0,267.7917,124.2693,0.05261331,0,110.1717,132.9584,3.797775,37.1451262473598,37.1451262471628,0.000120984694369948,22.0193411218479,0.7945033,0.000003632839,89.9999,89.9999,0.01012952,0.00000006260272
0.06999999,S,0.06999999,0.01970373,0,0.4705599,0,312.2848,124.2602,0.0526608,0,110.1703,132.9584,3.798005,48.6705476134566,48.6705476132521,0.000141100350429493,22.0422709026671,1.281209,0.000005043843,89.9999,89.9999,0.02050808,0.0000001059861
0.07999999,S,0.07999999,0.01972425,0,0.4705273,0,356.7778,124.2494,0.05276687,0,110.1689,132.9584,3.798235,60.1988499071907,60.1988499069748,0.000161221031791282,22.0854412612803,1.883198,0.000006656053,89.9999,89.9999,0.03633012,0.0000001644856
0.08999999,S,0.08999999,0.01976288,0,0.470466,0,401.2708,124.237,0.05296686,0,110.1676,132.9584,3.798465,71.7305356809588,71.7305356807296,0.000181347619041081,22.158135676595,2.600503,0.000008469529,89.9999,89.9999,0.05874862,0.0000002401135
0.09999999,S,0.09999999,0.01982793,0,0.4703625,0,445.7639,124.2229,0.05330433,0,110.1662,132.9584,3.798696,83.2660395086672,83.2660395084234,0.000201480870672324,22.2712159000315,3.433163,0.00001048434,89.9999,89.9999,0.08891695,0.0000003348829
0.11,S,0.11,0.01992912,0,0.4702009,0,490.257,124.2071,0.05383124,0,110.1648,132.9584,3.798926,94.8058210014817,94.8058210012227,0.000221621588839256,22.4369259139471,4.381221,0.00001270056,89.9999,89.9999,0.1279889,0.0000004508074
0.12,S,0.12,0.02007741,0,0.4699631,0,534.7502,124.1897,0.05460761,0,110.1634,132.9584,3.799156,106.350312298922,106.350312298647,0.00024177052776785,22.668605445778,5.444724,0.00001511826,89.9999,89.9999,0.1771186,0.0000005899015
0.13,S,0.13,0.02028473,0,0.4696286,0,579.2433,124.1707,0.05570143,0,110.162,132.9584,3.799387,117.899969796171,117.89996979588,0.000261928480567973,22.9803065323976,6.623724,0.00001773754,89.9999,89.9999,0.2374608,0.0000007541805
0.14,S,0.14,0.02056365,0,0.4691753,0,623.7366,124.1499,0.05718843,0,110.1607,132.9584,3.799617,129.455268420443,129.455268420136,0.000282096283063044,23.3863208627191,7.918277,0.0000205585,89.9999,89.9999,0.3101708,0.0000009456607
0.15,S,0.15,0.02092697,0,0.4685796,0,668.2299,124.1276,0.05915178,0,110.1593,132.9584,3.799847,141.016605246792,141.016605246468,0.000302274621341405,23.9006459050983,9.328443,0.00002358125,89.9999,89.9999,0.3964044,0.000001166359
0.16,S,0.16,0.02138722,0,0.467818,0,712.7232,124.1035,0.06168164,0,110.1579,132.9584,3.800077,152.584430524758,152.584430524417,0.000322464284706067,24.5364377854109,10.85429,0.00002680589,89.9999,89.9999,0.4973181,0.000001418295
0.17,S,0.17,0.02195616,0,0.4668678,0,757.2166,124.0778,0.06487473,0,110.1565,132.9584,3.800308,164.159204171334,164.159204170976,0.00034266607241109,25.3055001052166,12.49588,0.00003023255,89.9999,89.9999,0.6140689,0.000001703487
0.18,S,0.18,0.02264435,0,0.4657092,0,757.0698,124.0505,0.06883384,0,110.1551,132.9584,3.800538,164.163386183996,164.163386183638,0.000342673372728067,26.1551268093152,14.13751,0.00003365928,89.9999,89.9999,0.7472359,0.000002022947
0.19,S,0.19,0.02340464,0,0.4644217,0,756.9229,124.0223,0.07333007,0,110.1537,132.9584,3.800768,164.168739354562,164.168739354204,0.000342682715694705,27.0777542064756,15.7792,0.00003708611,89.9999,89.9999,0.8968195,0.000002376673
0.2,S,0.2,0.02423026,0,0.4630199,0,756.7761,123.9941,0.07835725,0,110.1524,132.9584,3.800998,164.17393291399,164.173932913632,0.000342691780049751,28.0661882258525,17.42094,0.00004051303,89.9999,89.9999,1.06282,0.000002764669
0.21,S,0.21,0.02511477,0,0.4615188,0,756.6295,123.966,0.08390905,0,110.151,132.9584,3.801229,164.179056038351,164.179056037993,0.000342700721472365,29.1137355370488,19.06273,0.00004394004,89.9999,89.9999,1.245239,0.000003186934
0.22,S,0.22,0.02605217,0,0.4599335,0,756.4828,123.9378,0.08997906,0,110.1496,132.9584,3.801459,164.184018980075,164.184018979717,0.000342709383304697,30.2142564293723,20.70457,0.00004736713,89.9999,89.9999,1.444075,0.00000364347
0.23,S,0.23,0.02703698,0,0.458279,0,756.3361,123.9097,0.09656107,0,110.1482,132.9584,3.801689,164.188839083838,164.18883908348,0.000342717795818904,31.3621826099058,22.34646,0.00005079431,89.9999,89.9999,1.65933,0.000004134277
0.24,S,0.24,0.02806421,0,0.4565692,0,756.1896,123.8815,0.103649,0,110.1468,132.9584,3.801919,164.193565399215,164.193565398857,0.000342726044622627,32.5525069529143,23.9884,0.00005422157,89.9999,89.9999,1.891004,0.000004659357
0.25,S,0.25,0.02912939,0,0.4548168,0,756.0432,123.8534,0.1112368,0,110.1455,132.9584,3.80215,164.198163988432,164.198163988074,0.000342734070502076,33.7807475367485,25.63038,0.00005764891,89.9999,89.9999,2.139098,0.000005218709
0.26,S,0.26,0.0302285,0,0.4530334,0,755.8967,123.8252,0.1193189,0,110.1441,132.9584,3.80238,164.202639963752,164.202639963394,0.000342741882361017,35.042931145188,27.27241,0.00006107633,89.9999,89.9999,2.403612,0.000005812336
0.27,S,0.27,0.03135798,0,0.4512292,0,755.7503,123.7971,0.1278898,0,110.1427,132.9584,3.80261,164.206990929129,164.206990928771,0.000342749476036369,36.3355195442843,28.91448,0.00006450382,89.9999,89.9999,2.684547,0.000006440236
0.28,S,0.28,0.03251468,0,0.4494131,0,755.604,123.769,0.136944,0,110.1413,132.9584,3.80284,164.211225630039,164.211225629681,0.00034275686675422,37.6553870005125,30.55659,0.00006793139,89.9999,89.9999,2.981902,0.000007102412
0.29,S,0.29,0.03369579,0,0.4475929,0,755.4577,123.7408,0.1464767,0,110.1399,132.9584,3.803071,164.215348027544,164.215348027186,0.000342764064946639,38.999769052761,32.19874,0.00007135903,89.9999,89.9999,3.295679,0.000007798864
0.3,S,0.3,0.03489885,0,0.4457749,0,755.3115,123.7127,0.1564831,0,110.1385,132.9584,3.803301,164.219370675805,164.219370675447,0.000342771085563393,40.3662213081686,33.84093,0.00007478674,89.9999,89.9999,3.625877,0.000008529593
0.31,S,0.31,0.03612166,0,0.4439647,0,755.1653,123.6846,0.1669586,0,110.1372,132.9584,3.803531,164.223248789932,164.223248789574,0.000342777853882729,41.7525816432635,35.48316,0.00007821451,89.9999,89.9999,3.972498,0.000009294599
0.32,S,0.32,0.03736228,0,0.4421667,0,755.0193,123.6565,0.1778989,0,110.1358,132.9584,3.803761,164.22703949028,164.227039489922,0.000342784469636122,43.1569361034416,37.12543,0.00008164235,89.9999,89.9999,4.335541,0.00001009388
0.33,S,0.33,0.03861902,0,0.4403849,0,754.8732,123.6284,0.1892998,0,110.1344,132.9584,3.803992,164.230699874957,164.230699874599,0.000342790857926806,44.5775885027705,38.76774,0.00008507026,89.9999,89.9999,4.715007,0.00001092745
0.3399999,S,0.3399999,0.03989034,0,0.4386222,0,754.7272,123.6003,0.2011574,0,110.133,132.9584,3.804222,164.234246754025,164.234246753667,0.00034279704809386,46.0130247700236,40.41008,0.00008849824,89.9999,89.9999,5.110896,0.00001179529
0.3499999,S,0.3499999,0.0411749,0,0.4368809,0,754.5813,123.5722,0.2134679,0,110.1316,132.9584,3.804452,164.23769319125,164.237693190892,0.000342803062956692,47.4619155302466,42.05246,0.00009192627,89.9999,89.9999,5.523209,0.00001269741
0.3599999,S,0.3599999,0.04247151,0,0.4351632,0,754.4354,123.5441,0.2262278,0,110.1303,132.9584,3.804683,164.241027887719,164.241027887361,0.000342808882776126,48.9230605025525,43.69487,0.00009535436,89.9999,89.9999,5.951945,0.00001363381
0.3699999,S,0.3699999,0.04377908,0,0.4334703,0,754.2896,123.5161,0.2394338,0,110.1289,132.9584,3.804913,164.244235731607,164.244235731249,0.000342814481177039,50.3953967493929,45.33731,0.0000987825,89.9999,89.9999,6.397106,0.0000146045
0.3799999,S,0.3799999,0.04509668,0,0.4318034,0,754.1437,123.488,0.2530822,0,110.1275,132.9584,3.805143,164.247333443132,164.247333442774,0.000342819887341702,51.8779742782718,46.97978,0.0001022107,89.9999,89.9999,6.858692,0.00001560946
