CC 152 622.3 O 3.99161 7.574993 TAMUSRT
0	0
0.02	3600
0.04	3600
0.06	3600
0.08	3600
0.1	3600
0.12	3600
0.14	3600
0.16	3600
0.18	3600
0.2	3600
0.22	3600
0.24	3600
0.26	3600
0.28	3600
0.3	3600
0.32	3600
0.34	3600
0.36	3600
0.38	3600
0.4	3600
0.42	3600
0.44	3600
0.46	3600
0.48	3600
0.5	3600
0.52	3600
0.54	3600
0.56	3600
0.58	3600
0.6	3600
0.62	3600
0.64	3600
0.66	3600
0.68	3600
0.7	3600
0.72	3600
0.74	3600
0.76	3600
0.78	3600
0.8	3600
0.82	3600
0.84	3600
0.86	3600
0.88	3600
0.9	3600
0.92	3600
0.94	3600
0.96	3600
0.98	3600
1	3600
1.02	3600
1.04	3600
1.06	3600
1.08	3600
1.1	3600
1.12	3600
1.14	3600
1.16	3600
1.18	3600
1.2	3600
1.22	3600
1.24	3600
1.26	3600
1.28	3600
1.3	3600
1.32	3600
1.34	3600
1.36	3600
1.38	3600
1.4	3600
1.42	3600
1.44	3600
1.46	3600
1.48	3600
1.5	3600
1.52	3600
1.54	3600
1.56	3600
1.58	3600
1.6	3600
1.62	3600
1.64	3600
1.66	3600
1.68	3600
1.7	3600
1.72	3600
1.74	3600
1.76	3600
1.78	3600
1.8	3600
1.82	3600
1.84	3600
1.86	3600
1.88	3600
1.9	3600
1.92	3600
1.94	3600
1.96	3600
1.98	3600
2	3600
2.02	3600
2.04	3600
2.06	3600
2.08	3600
2.1	3600
2.12	3600
2.14	3600
2.16	3600
2.18	3600
2.2	3600
2.22	3600
2.24	3600
2.26	3600
2.28	3600
2.3	3600
2.32	3600
2.34	3600
2.36	3600
2.38	3600
2.4	3600
2.42	3600
2.44	3600
2.46	3600
2.48	3600
2.5	3600
2.52	3600
2.54	3600
2.56	3600
2.58	3600
2.6	3600
2.62	3600
2.64	3600
2.66	3600
2.68	3600
2.7	3600
2.72	3600
2.74	3600
2.76	3600
2.78	3600
2.8	3600
2.82	3600
2.84	3600
2.86	3600
2.88	3600
2.9	3600
2.92	3600
2.94	3600
2.96	3600
2.98	3600
3	3600
3.02	3600
3.04	3600
3.06	3600
3.08	3600
3.1	3600
3.12	3600
3.14	3600
3.16	3600
3.18	3600
3.2	3600
3.22	3600
3.24	3600
3.26	3600
3.28	3600
3.3	3600
3.32	3600
3.34	3600
3.36	3600
3.38	3600
3.4	3600
3.42	3600
3.44	3600
3.46	3600
3.48	3600
3.5	3600
3.52	3600
3.54	3600
3.56	3600
3.58	3600
3.6	3600
3.62	3600
3.64	3600
3.66	3600
3.68	3600
3.7	3600
3.72	3600
3.74	3600
3.76	3600
3.78	3600
3.8	3600
3.82	3600
3.84	3600
3.86	3600
3.88	3600
3.9	3600
3.92	3600
3.94	3600
3.96	3600
3.98	3600
4	3600
4.02	3600
4.04	3600
4.06	3600
4.08	3600
4.1	3600
4.12	3600
4.14	3600
4.16	3600
4.18	3600
4.2	3600
4.22	3600
4.24	3600
4.26	3600
4.28	3600
4.3	3600
4.32	3600
4.34	3600
4.36	3600
4.38	3600
4.4	3600
4.42	3600
4.44	3600
4.46	3600
4.48	3600
4.5	3600
4.52	3600
4.54	3600
4.56	3600
4.58	3600
4.6	3600
4.62	3600
4.64	3600
4.66	3600
4.68	3600
4.7	3600
4.72	3600
4.74	3600
4.76	3600
4.78	3600
4.8	3600
4.82	3600
4.84	3600
4.86	3600
4.88	3600
4.9	3600
4.92	3600
4.94	3600
4.96	3600
4.98	3600
5	3600
5.02	3600
5.04	3600
5.06	3600
5.08	3600
5.1	3600
5.12	3600
5.14	3600
5.16	3600
5.18	3600
5.2	3600
5.22	3600
5.24	3600
5.26	3600
5.28	3600
5.3	3600
5.32	3600
5.34	3600
5.36	3600
5.38	3600
5.4	3600
5.42	3600
5.44	3600
5.46	3600
5.48	3600
5.5	3600
5.52	3600
5.54	3600
5.56	3600
5.58	3600
5.6	3600
5.62	3600
5.64	3600
5.66	3600
5.68	3600
5.7	3600
5.72	3600
5.74	3600
5.76	3600
5.78	3600
5.8	3600
5.82	3600
5.84	3600
5.86	3600
5.88	3600
5.9	3600
5.92	3600
5.94	3600
5.96	3600
5.98	3600
6	3600
6.02	3600
6.04	3600
6.06	3600
6.08	3600
6.1	3600
6.12	3600
6.14	3600
6.16	3600
6.18	3600
6.2	3600
6.22	3600
6.24	3600
6.26	3600
6.28	3600
6.3	3600
6.32	3600
6.34	3600
6.36	3600
6.38	3600
6.4	3600
6.42	3600
6.44	3600
6.46	3600
6.48	3600
6.5	3600
6.52	3600
6.54	3600
6.56	3600
6.58	3600
6.6	3600
6.62	3600
6.64	3600
6.66	3600
6.68	3600
6.7	3600
6.72	3600
6.74	3600
6.76	3600
6.78	3600
6.8	3600
6.82	3600
6.84	3600
6.86	3600
6.88	3600
6.9	3600
6.92	3600
6.94	3600
6.96	3600
6.98	3600
7	3600
7.02	3600
7.04	3600
7.06	3600
7.08	3600
7.1	3600
7.12	3600
7.14	3600
7.16	3600
7.18	3600
7.2	3600
7.22	3600
7.24	3600
7.26	3600
7.28	3600
7.3	3600
7.32	3600
7.34	3600
7.36	3600
7.38	3600
7.4	3600
7.42	3600
7.44	3600
7.46	3600
7.48	3600
7.5	3600
7.52	3600
7.54	3600
7.56	3600
7.58	3600
7.6	3600
7.62	3600
7.64	3600
7.66	3600
7.68	3600
7.7	3600
7.72	3600
7.74	3600
7.76	3600
7.78	3600
7.8	3600
7.82	3600
7.84	3600
7.86	3600
7.88	3600
7.9	3600
7.92	3600
7.94	3600
7.96	3600
7.98	3600
8	3600
8.02	3600
8.04	3600
8.06	3600
8.08	3600
8.1	3600
8.12	3600
8.14	3600
8.16	3600
8.18	3600
8.2	3600
8.22	3600
8.24	3600
8.26	3600
8.28	3600
8.3	3600
8.32	3600
8.34	3600
8.36	3600
8.38	3600
8.4	3600
8.42	3600
8.44	3600
8.46	3600
8.48	3600
8.5	3600
8.52	3600
8.54	3600
8.56	3600
8.58	3600
8.6	3600
8.62	3600
8.64	3600
8.66	3600
8.68	3600
8.7	3600
8.72	3600
8.74	3600
8.76	3600
8.78	3600
8.8	3600
8.82	3600
8.84	3600
8.86	3600
8.88	3600
8.9	3600
8.92	3600
8.94	3600
8.96	3600
8.98	3600
9	3600
9.02	3600
9.04	3600
9.06	3600
9.08	3600
9.1	3600
9.12	3600
9.14	3600
9.16	3600
9.18	3600
9.2	3600
9.22	3600
9.24	3600
9.26	3600
9.28	3600
9.3	3600
9.32	3600
9.34	3600
9.36	3600
9.38	3600
9.4	3600
9.42	3600
9.44	3600
9.46	3600
9.48	3600
9.5	3600
9.52	3600
9.54	3600
9.56	3600
9.58	3600
9.6	3600
9.62	3600
9.64	3600
9.66	3600
9.68	3600
9.7	3600
9.72	3600
9.74	3600
9.76	3600
9.78	3600
9.8	3600
9.82	3600
9.84	3600
9.86	3600
9.88	3600
9.9	3600
9.92	3600
9.94	3600
9.96	3600
9.98	3600
10	0
