0.5299998, 0, 0, 34.14572, 10.3044, 0, 308.9601, -4216.482, -4.938272, 0.01823969, 0.1523926, 25.46011, 3.974675, 2.775582, 136.3042
 
0.5399998, -0.05184686, 0, 34.60357, 10.30609, 1.0073574212875671238344, 320.7659, -4217.395, -4.938272, 0.01823969, 0.1523926, 25.94233, 3.974675, 2.775237, 136.3467
 
0.5499998, -0.05263171, -0.0005184686, 35.06502, 10.311, 0.9881541411504299296515, 332.7984, -4218.308, -4.938272, 0.01823969, 0.1523926, 26.42478, 3.974675, 2.774893, 136.3892
 
0.5599998, -0.0534065, -0.001044786, 35.52524, 10.31429, 0.9695698754459515991611474190, 345.0579, -4219.221, -4.938272, 0.01823969, 0.1523926, 26.90747, 3.974675, 2.774548, 136.4317
 
0.5699998, -0.05417081, -0.001578851, 35.98423, 10.31598, 0.9515696581198937523591, 357.5446, -4220.135, -4.938272, 0.01823969, 0.1523926, 27.39038, 3.974675, 2.774203, 136.4742
 
0.5799997, -0.0549241, -0.002120559, 36.4468, 10.32089, 0.9341198039258731130472, 370.2586, -4221.048, -4.938272, 0.01823969, 0.1523926, 27.87352, 3.974675, 2.773858, 136.5167
 
0.5899997, -0.0556659, -0.0026698, 36.90813, 10.32419, 0.9171879084253487007549, 383.2003, -4221.962, -4.938272, 0.01823969, 0.1523926, 28.35688, 3.974675, 2.773513, 136.5592
 
0.5999997, -0.05639574, -0.003226459, 37.36983, 10.32749, 0.9007461780880315240719, 396.3697, -4222.877, -4.938272, 0.01823969, 0.1523926, 28.84047, 3.974675, 2.773168, 136.6017
 
0.6099997, -0.05711315, -0.003790416, 37.83027, 10.32917, 0.884766691302847849692, 409.767, -4223.791, -4.938272, 0.01823969, 0.1523926, 29.32427, 3.974675, 2.772823, 136.6441
 
0.6199997, -0.05781744, -0.004361548, 38.29431, 10.33409, 0.8692231915089255889557, 423.3927, -4224.706, -4.938272, 0.01823969, 0.1523926, 29.80829, 3.974675, 2.772478, 136.6866
 
0.6299997, -0.05850827, -0.004939722, 38.75708, 10.33739, 0.854092624165011200601, 437.2468, -4225.621, -4.938272, 0.01823969, 0.1523926, 30.29252, 3.974675, 2.772133, 136.7291
 
