0.7299996, 0, 0, 46.3245, 9.392142, 0, 598.4357, -4725.118, -6.25, 0.01823969, 0.1523926, 35.67474, 4.311834, 3.308312, 141.7867
 
0.7399996, -0.1801247, 0, 46.91526, 9.393308, 4.5851902285161018144953851713, 617.5082, -4725.919, -6.25, 0.01823969, 0.1523926, 36.23943, 3.802701, 3.308053, 141.8211
 
0.7499996, -0.1842435, -0.001801247, 47.50812, 9.395802, 4.5126930275808803825419835697, 636.8998, -4726.722, -6.25, 0.01823969, 0.1523926, 36.80471, 3.807982, 3.307794, 141.8554
 
0.7599996, -0.1883508, -0.003643682, 48.10037, 9.396971, 4.4419581050759412603612074896, 656.6097, -4727.524, -6.25, 0.01823969, 0.1523926, 37.37057, 3.813194, 3.307534, 141.8897
 
0.7699996, -0.1924436, -0.00552719, 48.69462, 9.399465, 4.3728904260566256711664363427, 676.6375, -4728.328, -6.25, 0.01823969, 0.1523926, 37.93694, 3.81834, 3.307275, 141.924
 
0.7799996, -0.1965198, -0.007451626, 49.28691, 9.399311, 4.3054052854636051551890121165, 696.9843, -4729.131, -6.25, 0.01823969, 0.1523926, 38.50385, 3.823424, 3.307016, 141.9583
 
0.7899995, -0.2005764, -0.009416824, 49.88116, 9.400482, 4.2394117803063365346330368569, 717.6495, -4729.934, -6.25, 0.01823969, 0.1523926, 39.07125, 3.828449, 3.306756, 141.9926
 
0.7999995, -0.204611, -0.01142259, 50.4774, 9.402974, 4.1748314034565614493630465281, 738.6345, -4730.737, -6.25, 0.01823969, 0.1523926, 39.63918, 3.833419, 3.306497, 142.027
 
0.8099995, -0.2086205, -0.0134687, 51.07291, 9.404144, 4.1115835818091083581422617414, 759.9376, -4731.541, -6.25, 0.01823969, 0.1523926, 40.20755, 3.838338, 3.306238, 142.0613
 
0.8199995, -0.2126022, -0.0155549, 51.66772, 9.403988, 4.0496042700751028375321696859, 781.5601, -4732.345, -6.25, 0.01823969, 0.1523926, 40.77638, 3.843207, 3.305979, 142.0956
 
0.8299995, -0.2165529, -0.01768092, 52.26441, 9.405156, 3.9888149611264104860207742954, 803.5012, -4733.149, -6.25, 0.01823969, 0.1523926, 41.34565, 3.848031, 3.305719, 142.1299
 
0.8399995, -0.2204697, -0.01984645, 52.86167, 9.406323, 3.9291578076053715981968027000, 825.7613, -4733.954, -6.25, 0.01823969, 0.1523926, 41.91534, 3.852812, 3.30546, 142.1642
 
0.8499995, -0.2243495, -0.02205115, 53.45949, 9.407492, 3.8705687642232563690157880536, 848.3406, -4734.758, -6.25, 0.01823969, 0.1523926, 42.48545, 3.857553, 3.305201, 142.1985
 
0.8599995, -0.2281893, -0.02429465, 54.05652, 9.407332, 3.8129858516682481745345788621, 871.2394, -4735.563, -6.25, 0.01823969, 0.1523926, 43.05596, 3.862258, 3.304942, 142.2328
 
0.8699995, -0.2319854, -0.02657654, 54.65539, 9.408499, 3.7563512225828112679653702257, 894.4569, -4736.368, -6.25, 0.01823969, 0.1523926, 43.62685, 3.86693, 3.304682, 142.2672
 
0.8799995, -0.2357347, -0.02889639, 55.2548, 9.409664, 3.7006152935174758223371785533, 917.9947, -4737.173, -6.25, 0.01823969, 0.1523926, 44.19813, 3.87157, 3.304423, 142.3015
 
0.8899994, -0.2394339, -0.03125374, 55.85337, 9.409504, 3.6457243490688216898529215791, 941.8517, -4737.979, -6.25, 0.01823969, 0.1523926, 44.76978, 3.876182, 3.304164, 142.3358
 
0.8999994, -0.243079, -0.03364808, 56.45377, 9.410667, 3.5916308717644575028075550242, 966.0284, -4738.785, -6.25, 0.01823969, 0.1523926, 45.34179, 3.880769, 3.303905, 142.3701
 
0.9099994, -0.2466667, -0.03607887, 57.05331, 9.410503, 3.5382873441320745325783465895, 990.525, -4739.59, -6.25, 0.01823969, 0.1523926, 45.91415, 3.885333, 3.303645, 142.4044
 
0.9199994, -0.2501931, -0.03854554, 57.65468, 9.411668, 3.4856483146764011902673472979, 1015.342, -4740.396, -6.25, 0.01823969, 0.1523926, 46.48686, 3.889878, 3.303386, 142.4388
 
0.9299994, -0.2536546, -0.04104747, 58.25519, 9.411503, 3.4336745298333392854626921239, 1040.479, -4741.203, -6.25, 0.01823969, 0.1523926, 47.05992, 3.894404, 3.303127, 142.4731
 
0.9399994, -0.2570466, -0.04358402, 58.85748, 9.412666, 3.3823205381076172292664320905, 1065.936, -4742.009, -6.25, 0.01823969, 0.1523926, 47.63329, 3.898916, 3.302867, 142.5074
 
0.9499994, -0.2603657, -0.04615448, 59.45888, 9.412496, 3.3315512178892524302574248064, 1091.714, -4742.814, -6.25, 0.01823969, 0.1523926, 48.207, 3.903415, 3.302608, 142.5417
 
0.9599994, -0.2636069, -0.04875814, 60.06207, 9.413657, 3.2813273156141466980238052460, 1117.813, -4743.622, -6.25, 0.01823969, 0.1523926, 48.78103, 3.907904, 3.302349, 142.576
 
0.9699994, -0.2667668, -0.05139421, 60.66435, 9.413488, 3.2316157756493752406397923352, 1144.232, -4744.428, -6.25, 0.01823969, 0.1523926, 49.35536, 3.912385, 3.30209, 142.6103
 
0.9799994, -0.2698406, -0.05406187, 61.26711, 9.413319, 3.1823835423620132661796049998, 1170.973, -4745.236, -6.25, 0.01823969, 0.1523926, 49.93003, 3.916861, 3.301831, 142.6446
 
0.9899994, -0.2728233, -0.05676028, 61.8716, 9.414479, 3.1335934281650203837267395314, 1198.035, -4746.043, -6.25, 0.01823969, 0.1523926, 50.505, 3.921334, 3.301571, 142.679
 
0.9999993, -0.2757108, -0.05948852, 62.4752, 9.414307, 3.0852185753566451998414988071, 1225.419, -4746.851, -6.25, 0.01823969, 0.1523926, 51.08028, 3.925806, 3.301312, 142.7133
 
1.009999, -0.2784972, -0.06224563, 63.08052, 9.415466, 3.0372279942810207220934630701, 1253.123, -4747.659, -6.25, 0.01823969, 0.1523926, 51.65582, 3.930279, 3.301053, 142.7476
 
1.019999, -0.2811792, -0.0650306, 63.68493, 9.415293, 2.9895968932134533565382965146, 1281.149, -4748.467, -6.25, 0.01823969, 0.1523926, 52.23167, 3.934756, 3.300794, 142.7819
 
1.029999, -0.2837507, -0.06784239, 64.28976, 9.415119, 2.9422963484751339102409407007, 1309.498, -4749.275, -6.25, 0.01823969, 0.1523926, 52.80782, 3.939239, 3.300534, 142.8162
 
1.039999, -0.2862056, -0.0706799, 64.8963, 9.416275, 2.8952995023643109897616985058, 1338.168, -4750.083, -6.25, 0.01823969, 0.1523926, 53.38424, 3.943729, 3.300275, 142.8505
 
1.049999, -0.2885401, -0.07354195, 65.50191, 9.416098, 2.8485836291333488006515954412, 1367.161, -4750.893, -6.25, 0.01823969, 0.1523926, 53.96094, 3.948229, 3.300016, 142.8848
 
1.059999, -0.2907484, -0.07642736, 66.10793, 9.415921, 2.8021280690116693479570183357, 1396.476, -4751.702, -6.25, 0.01823969, 0.1523926, 54.53793, 3.95274, 3.299757, 142.9192
 
1.069999, -0.2928241, -0.07933484, 66.71432, 9.415742, 2.7559059642975212382382700665, 1426.115, -4752.511, -6.25, 0.01823969, 0.1523926, 55.1152, 3.957266, 3.299497, 142.9535
 
1.079999, -0.2947611, -0.08226308, 67.32244, 9.416898, 2.7098966552203264765417374623, 1456.076, -4753.32, -6.25, 0.01823969, 0.1523926, 55.69273, 3.961807, 3.299238, 142.9878
 
1.089999, -0.2965548, -0.0852107, 67.92962, 9.416717, 2.6640836139636226669045299859, 1486.36, -4754.129, -6.25, 0.01823969, 0.1523926, 56.27054, 3.966366, 3.298979, 143.0221
 
1.099999, -0.2981973, -0.08817624, 68.53847, 9.417871, 2.6184461807568318143730344660, 1516.966, -4754.939, -6.25, 0.01823969, 0.1523926, 56.8486, 3.970944, 3.298719, 143.0564
 
1.109999, -0.2996841, -0.09115822, 69.14638, 9.417688, 2.5729678277834915229843603655, 1547.896, -4755.75, -6.25, 0.01823969, 0.1523926, 57.42693, 3.975543, 3.29846, 143.0907
 
1.119999, -0.3010084, -0.09415506, 69.75467, 9.417506, 2.5276278952730237977848945131, 1579.151, -4756.56, -6.25, 0.01823969, 0.1523926, 58.00553, 3.980165, 3.298201, 143.1251
 
1.129999, -0.3021628, -0.09716514, 70.36331, 9.417321, 2.4824139873630818418024690060, 1610.729, -4757.37, -6.25, 0.01823969, 0.1523926, 58.58438, 3.984811, 3.297942, 143.1594
 
