Flight_Time_(s),Gyro_X,Gyro_Y,Gyro_Z,Accel_X,Accel_Y,Accel_Z
0,4.9,-6.2,-5.6,-1.82,18.07,-0.32
0.002,7.2,-13.5,-1.4,-1.29,17.91,-0.07
0.004,4.9,-15.8,-2.8,-1.23,17.99,0.56
0.006,4.9,-9.3,0.8,-1.63,17.66,-0.26
0.008,6.9,-11.6,1.8,-1.17,18.17,0.16
0.01,4.6,-9.7,-0.8,-1.32,18.47,-0.19
0.012,0.8,-3.1,-8,-2.42,17.83,0.8
0.014,10,22.7,6.3,-1.31,17.84,-0.74
0.016,5.2,23.4,11,0.1,18.25,-0.71
0.018,0.6,27.8,-5.7,0.42,18.95,2.19
0.02,0.9,37.9,-20.5,-2.96,16.84,-1.44
0.022,5.8,37.5,-3.7,-0.87,17.67,0.48
0.024,8.6,11.8,7.5,-0.44,18.55,-0.61
0.026,3.2,8.4,-4,0.09,18.77,1.53
0.028,1.4,25.3,-3.3,-1.57,18.18,0.89
0.03,3.8,37.2,-1.7,-0.94,17.91,0.54
0.032,4.5,48,1.3,-1.15,18.03,-0.16
0.034,3.4,44,0.8,-0.77,18.11,-0.91
0.036,1.9,28,-4.8,-1.39,18.14,-1.36
0.038,-1.3,16.3,-6,-1.49,18.07,-0.32
0.04,2.2,20,0.4,-2.71,16.81,0.08
0.042,-42.3,56.7,30.8,-2.89,15.17,0.95
0.044,14.4,66,2.9,-1.01,19.64,-2.34
0.046,16.1,21.6,-8.3,-1.63,17.05,-1.03
0.048,-6.1,22.7,2.7,-2.22,17,-1.59
0.05,-0.2,18.2,28.8,1.07,18.99,1.09
0.052,6.7,18.8,8.7,-0.21,19.45,0.67
0.054,1.4,25.4,-4.4,-0.15,18.07,1.43
0.056,-12.9,39.9,-4.3,-1.2,17.32,-0.54
0.058,-5.8,58.1,-5.8,-1.42,17.97,1.25
0.06,-12.4,67.4,-6,-1.02,17.5,1.14
0.062,-0.4,68.1,5.4,-0.91,17.56,-1.9
0.064,6.2,47.4,5.5,0.19,17.98,1.02
0.066,-3.6,49.9,5.4,0.38,18.09,1.64
0.068,-5.3,62.8,3.9,-0.49,18.1,-4
0.07,-13.9,54.2,-2.6,-0.23,19.38,2.6
0.072,-22.6,85.8,-4.6,-3,17.11,-1.6
0.074,-21.6,98.9,3.6,-4.15,18.32,0.11
0.076,-10,117.1,5,-1.4,18.18,-2.53
0.078,-2.1,104.5,3.8,-0.43,18.32,-0.59
0.08,-8.7,90.3,-0.2,-0.23,17.91,1.15
0.082,-19.8,118,4.7,-1.28,18.36,0.12
0.084,-20.2,126.7,3.7,-1.66,18.02,-1.49
0.086,-20,113.5,-3.2,-1.89,17.94,0.77
0.088,-13,119.4,1.7,-1.84,17.54,0.45
0.09,-11.9,131.6,6.2,-0.21,18.15,0.64
0.092,-22,133.8,0.8,0.28,18.42,0.71
0.094,-59.4,122.3,-19.8,-1.22,18.99,3.36
0.096,-28.1,137.4,-14.4,-0.68,15.74,6.14
0.098,25.2,158,8.3,-0.41,18.87,1.94
0.1,-20.2,149,5.1,-0.46,19.85,1.86
0.102,-0.1,136.5,-3.2,-1.83,16.91,-0.86
0.104,-10,120.6,6.2,-1.39,17.61,0.44
0.106,-11.8,123.3,8.8,-1.41,17.88,0.51
0.108,-20.5,133.5,1.3,-0.89,18.84,-0.61
0.11,-20.7,138.6,-2.6,-1,18.08,1.28
0.112,-24.4,147.7,3.4,-0.3,18.31,1.91
0.114,-21.4,148.5,-1.6,-0.43,18.29,2.16
0.116,15.1,124.1,13.9,-1.47,16.24,-4.19
0.118,-4.6,102.9,19.7,1.81,18.66,-5.15
0.12,-11.5,90.2,-2.8,1.04,20.56,-0.7
0.122,-29.9,116.6,-38.7,-3.24,17.09,1.4
0.124,-40.7,126.4,-17.6,-4.81,16.22,2.05
0.126,-9.6,134.4,8.9,-0.8,18.99,2.23
0.128,26.8,130.7,7.1,-1.08,18.33,2.16
0.13,-21.2,114.4,34,-0.59,20.11,-1.54
0.132,2.5,143.9,4.5,0.96,20.19,-6.85
0.134,-26.6,116.9,-21.5,-4.91,16.33,-2
0.136,-15.8,102.9,3,-0.58,16.82,0.31
0.138,-20,102.3,13.2,-0.6,19.47,3.13
0.14,-37.9,105.7,15.5,-0.78,19.47,-2.31
0.142,0.5,102.7,15.3,1.64,18.69,0.28
0.144,5.7,114.5,-3.3,-2.52,16.31,-3.84
0.146,-37.3,109.4,1.4,-0.93,18.24,0.95
0.148,-44.9,115.9,-1.6,1.2,20.54,3.71
0.15,-12.7,129.1,-21,0.16,19.47,2.38
0.152,16.7,150,-12,-7.4,14.8,0.48
0.154,0.1,146.2,19.8,-0.18,18.91,-3.19
0.156,-0.5,129.7,16.8,1.5,17.69,0.27
0.158,-59,107.5,7.1,2.43,21.35,9.51
0.16,7.1,128.8,-16.2,0.97,20.67,3.07
0.162,17.1,156.3,13.9,-9.37,13.24,-6.97
0.164,11.1,140.3,48.7,-0.22,21.53,1.82
0.166,-8.2,106,-11.6,0.22,18.87,-0.24
0.168,-18.6,98.1,0.4,-1.05,18.49,-2.38
0.17,-3,75,-0.8,-1.14,17.78,0.18
0.172,-3.6,87.2,3.3,-2.67,17.68,0.58
0.174,-19.3,102.3,3,-2.49,18.63,-0.63
0.176,-18.5,89.8,-5.6,-1.19,18.8,2.12
0.178,1,95.5,-7.9,-3.71,16.81,-0.07
0.18,15.6,102.6,16,-0.21,18.03,-2.62
0.182,-3.9,86.3,21.4,0.24,19.82,-1.6
0.184,-11.9,78.1,-13.9,-1.21,18.42,2.23
0.186,-15.6,88.1,-9.6,-3.35,17.03,1.06
0.188,-3.1,110.8,12.4,-1.86,18.47,-1.9
0.19,2.1,83.4,9.4,-0.89,18.46,0.15
0.192,0,82.8,5.1,-1.31,18.25,-0.87
0.194,-2.3,89.7,2.5,-0.52,18.82,-0.08
0.196,-6.4,85.1,5.7,-1.18,18.53,0.4
0.198,-8.2,100.1,8.6,-1.32,18.44,-0.16
0.2,-8,97.7,5.7,-0.98,18.69,-0.98
0.202,-6.1,87.5,5.7,-1.42,18.62,-0.62
0.204,-3.4,84.3,4.3,-0.86,18.39,-0.28
0.206,-6.6,88.6,4.1,-0.58,19.02,-0.61
0.208,-8.5,91.3,1.3,-0.98,18.58,-0.27
0.21,-5.9,88.9,7.8,-0.74,18.85,0.24
0.212,-7.2,97.1,6.5,-1.15,18.49,-0.45
0.214,-8.6,94.9,4.6,-1.03,18.75,-0.53
0.216,-7.9,86.8,6.7,-0.76,18.75,0.11
0.218,-7.6,87.2,2.5,-1.1,18.5,0.19
0.22,-5.9,93.8,2.9,-1.09,18.81,0.08
0.222,-4.9,89.5,6,-1.05,18.61,0.36
0.224,-8.8,91.4,5.9,-1.5,18.55,0.6
0.226,-9.7,92.2,6.9,-1.71,18.64,0.41
0.228,-7.5,90.7,7.1,-1.44,18.62,0.48
0.23,-4.6,90.6,9.2,-1.45,18.78,0.6
0.232,-3.9,91.5,5.4,-1.7,18.52,0.42
0.234,-6.7,90.9,6.2,-1.66,18.62,0.38
0.236,-7.1,87.9,9.9,-1.59,18.7,0.76
0.238,-6.9,93.2,10.5,-1.52,18.59,0.18
0.24,-5.5,90.8,8.2,-1.59,18.62,-0.1
0.242,-3.4,87.6,9.7,-1.43,18.61,0.09
0.244,-6.9,91.4,11.6,-1.26,18.61,-0.22
0.246,-7.3,90.4,8.7,-1.18,18.73,-0.34
0.248,-4.4,87.9,8.9,-1.12,18.53,-0.17
0.25,-4.6,88.9,12.8,-0.97,18.75,-0.2
0.252,-3.7,84.7,12.5,-0.82,18.7,-0.47
0.254,-4.9,83.7,10.5,-0.72,18.73,-0.42
0.256,-7.6,87.5,10.5,-0.76,18.74,-0.28
0.258,-7.6,87.9,8.2,-0.79,18.72,-0.26
0.26,-5.9,87.9,8.5,-0.82,18.84,-0.21
0.262,-5.2,86.3,8.1,-1.02,18.78,-0.03
0.264,-5.7,89.1,10.9,-1.07,18.64,-0.26
0.266,-7.6,86.1,9.3,-1.18,18.82,-0.14
0.268,-8.4,86.9,9.7,-1.25,18.75,0.05
0.27,-7.1,87,9.7,-1.36,18.75,-0.1
0.272,-6.4,87.5,8.8,-1.37,18.89,0.16
0.274,-7.9,87.7,8.3,-1.53,18.8,0.26
0.276,-7.5,88.1,11.1,-1.52,18.67,0.09
0.278,-7.2,87.2,11.1,-1.59,18.57,0.05
0.28,-6.9,86.7,10.2,-1.52,18.65,0.16
0.282,-6.3,86.5,11.2,-1.57,18.64,0.25
0.284,-7.3,86.8,12.7,-1.43,18.81,0.1
0.286,-6.5,86.5,10.8,-1.42,18.64,0.17
0.288,-5.2,86.9,11.1,-1.37,18.67,0.02
0.29,-6.6,87.5,13.3,-1.27,18.82,0.05
0.292,-8.1,86.5,13,-1.2,18.74,0.21
0.294,-7.4,86.9,12.1,-1.23,18.74,0.13
0.296,-4.8,87.3,13.7,-1.1,18.84,-0.03
0.298,-4.8,87.9,12.7,-1.08,18.74,-0.03
0.3,-6.9,87.5,12.5,-1.17,18.87,-0.02
0.302,-7.6,87,12.5,-1.13,18.64,-0.25
0.304,-7.5,87.9,14.1,-1.05,18.87,-0.12
0.306,-4.9,86.5,14.1,-1.13,18.67,-0.02
0.308,-5.8,88.6,13.5,-1.11,18.82,-0.16
0.31,-6.2,86.7,14.1,-1.14,18.8,-0.06
0.312,-6.9,86.2,13,-1.18,18.72,-0.07
0.314,-7.7,88.4,13.2,-1.25,18.96,-0.09
0.316,-6.9,87.1,14.1,-1.22,18.88,0.01
0.318,-6.5,87.7,14.8,-1.17,18.88,-0.05
0.32,-7.1,87.3,13.9,-1.26,18.75,0.01
0.322,-8.3,87.7,14.2,-1.18,18.73,-0.23
0.324,-7,86.1,14.6,-1.21,18.83,0.04
0.326,-6.1,88.2,13.9,-1.16,18.64,-0.25
0.328,-6.9,86.1,13.9,-1.4,18.95,0.23
0.33,-7.4,87,15.1,-1.17,18.71,-0.04
0.332,-7.4,87.8,15.3,-1.34,18.87,-0.02
0.334,-7.1,87.1,14.9,-1.19,18.8,0.01
0.336,-7.4,87.2,15,-1.41,18.89,0.05
0.338,-7.3,87,15.7,-1.28,18.79,-0.07
0.34,-7.2,88,15.4,-1.34,18.87,-0.09
0.342,-7.2,87.2,15.2,-1.47,18.71,0.08
0.344,-7.9,88.2,16.8,-1.31,18.98,-0.01
0.346,-6.9,87.7,16.2,-1.4,18.85,0.18
0.348,-7.1,88.3,16.6,-1.38,18.86,-0.03
0.35,-6.9,87.5,16.9,-1.37,18.98,0.08
0.352,-7.1,88.7,16.5,-1.3,18.79,0.01
0.354,-7.1,88.1,16.2,-1.52,18.96,0.12
0.356,-7.2,88.3,16.5,-1.25,19.03,-0.02
0.358,-6.6,88.4,17.3,-1.2,18.98,0.13
0.36,-8.3,89.1,17.6,-1.14,19.09,0.07
0.362,-7.2,89.6,16.9,-1.17,18.99,-0.05
0.364,-6.9,88.8,17.4,-1.02,18.92,-0.12
0.366,-7.3,89.5,16.8,-1.1,19.02,-0.05
0.368,-6.9,89.5,16.8,-1.08,18.96,-0.12
0.37,-7.2,89.2,17.7,-1.07,18.96,-0.13
0.372,-8.1,90.3,17.4,-1.15,18.9,-0.09
0.374,-8.1,90.3,17.5,-1.19,19.07,-0.18
0.376,-7.2,89.6,17.2,-1.32,18.91,-0.05
0.378,-7.1,90.6,17.9,-1.39,18.94,-0.08
0.38,-7.6,90.7,17.4,-1.4,19.09,-0.01
0.382,-8.4,88.9,17,-1.4,18.9,-0.07
0.384,-8.3,89.8,18,-1.54,19.01,0
0.386,-7.4,90,18.3,-1.49,18.86,-0.08
0.388,-7.5,89.5,17.6,-1.52,18.93,0.06
0.39,-7.4,90.5,19,-1.43,19.08,0.04
0.392,-7.6,90.5,18.8,-1.48,18.99,0.16
0.394,-7.9,90.3,18.6,-1.57,19.11,0.18
0.396,-7.2,90.9,18.2,-1.32,18.86,0.02
0.398,-7.7,91.3,19.6,-1.42,19.16,0.21
0.4,-7.7,91.2,19.7,-1.35,18.88,0.07
0.402,-7.7,91.8,19.5,-1.15,19.17,0.19
0.404,-8.3,92.4,19.7,-1.19,18.99,0.13
0.406,-7,92.3,19.3,-1.16,19,-0.12
0.408,-6.7,92.4,19.3,-1.11,19.02,-0.04
0.41,-8.6,93.8,19.5,-1.09,19.15,-0.08
0.412,-8.3,92.1,19.6,-1.22,19.09,-0.11
0.414,-6.8,92.4,20,-1.13,19.02,-0.14
0.416,-7.2,92.8,19.1,-1.24,19.09,-0.16
0.418,-7.8,92,19.5,-1.28,19.05,-0.31
0.42,-8.8,91.6,19.3,-1.3,19.05,-0.15
0.422,-8.7,91.2,19,-1.51,18.99,-0.02
0.424,-7.7,92.7,20.2,-1.33,19.21,-0.13
0.426,-6.5,90.2,19.7,-1.45,18.9,-0.07
0.428,-8.3,91.4,19.6,-1.56,19.08,0
0.43,-9,91.4,20.3,-1.38,19,-0.16
0.432,-7.8,90.2,19.7,-1.53,19.08,0.16
0.434,-6.8,90.6,20.6,-1.41,19.14,-0.15
0.436,-6.2,90.5,20.4,-1.49,18.97,0
0.438,-7.5,89.8,20.4,-1.43,19.24,0.05
0.44,-9.3,90,20.6,-1.45,19.02,0.07
0.442,-8.6,90.7,20.2,-1.44,19.21,0.08
0.444,-5.8,89.8,21.3,-1.45,18.97,0.05
0.446,-5.4,89.3,20.9,-1.45,19.1,0.13
0.448,-6.9,90.2,21.1,-1.34,18.92,-0.13
0.45,-7.4,89.1,20.9,-1.35,19.09,0.14
0.452,-7.6,89.2,21.1,-1.35,19.01,-0.15
0.454,-5.3,90,21.3,-1.51,19.11,-0.06
0.456,-5.1,89.1,21.5,-1.2,19.15,-0.26
0.458,-6.5,89,21.5,-1.39,19.16,-0.01
0.46,-7.2,89.1,20.8,-1.35,19.09,-0.27
0.462,-5.4,88.2,21.1,-1.32,19.14,-0.24
0.464,-5.1,87.9,21.4,-1.38,19.27,-0.11
0.466,-4.9,87.8,21.4,-1.39,19.16,-0.18
0.468,-5.6,87.2,21.7,-1.32,19.15,-0.27
0.47,-5.9,86.8,21.1,-1.4,19.23,0.06
0.472,-5.3,87.2,21.1,-1.43,19.04,-0.13
0.474,-5.3,86.3,21.3,-1.28,19.29,-0.11
0.476,-5,86.8,21.2,-1.47,19.23,0.13
0.478,-5,86.2,21.7,-1.34,19.32,-0.21
0.48,-4.2,85.7,22.2,-1.43,19.3,0.04
0.482,-4.6,85.6,21.3,-1.43,19.21,0.13
0.484,-4.7,85.5,21.4,-1.53,19.31,-0.09
0.486,-4.2,84,21.6,-1.58,19.24,0.03
0.488,-3.7,84.9,21.6,-1.5,19.17,-0.17
0.49,-3.4,83.5,22.1,-1.65,19.42,-0.16
0.492,-4.6,84.6,21.6,-1.53,19.29,-0.09
0.494,-4.1,82.6,22.1,-1.66,19.45,-0.11
0.496,-3,82.8,21.7,-1.46,19.27,-0.08
0.498,-3.9,82.4,21.9,-1.53,19.43,-0.07
0.5,-3.7,82.2,21.8,-1.35,19.36,-0.17
0.502,-2.5,81.9,22.3,-1.47,19.38,-0.13
0.504,-2.7,82.1,21.6,-1.53,19.26,-0.1
0.506,-2.8,81.4,23,-1.29,19.48,-0.07
0.508,-2.3,81,22.1,-1.32,19.5,0.06
0.51,-2,82.4,21.5,-1.46,19.3,-0.18
0.512,-1.2,78.1,21.3,-1.42,19.42,0.01
0.514,-2.3,81,22.3,-1.44,19.47,0.13
0.516,-1.8,80.2,21.8,-1.39,19.38,-0.24
0.518,-1.1,79.4,21.9,-1.34,19.32,-0.09
0.52,-0.6,79.8,22.2,-1.48,19.4,-0.06
0.522,-1.6,80.5,22.5,-1.38,19.53,-0.28
0.524,-1.2,79.3,21.6,-1.58,19.4,-0.08
0.526,-0.6,80.7,21.6,-1.68,19.38,0
0.528,-0.9,80.9,22.8,-1.55,19.44,-0.25
0.53,0.4,78,21.5,-1.7,19.35,-0.05
0.532,-0.8,78.5,22.6,-1.56,19.53,-0.08
0.534,-0.7,79.3,22.7,-1.59,19.5,-0.15
0.536,0.1,78.7,21.5,-1.66,19.49,-0.3
0.538,0.9,77.1,22.3,-1.6,19.4,-0.15
0.54,0.4,77.4,22.3,-1.56,19.62,-0.28
0.542,1.1,74.6,21.8,-1.58,19.41,-0.06
0.544,0.5,77.3,21.9,-1.58,19.67,-0.11
0.546,0.7,76.1,22.6,-1.56,19.58,-0.02
0.548,1.6,75.1,22,-1.57,19.55,0
0.55,3.2,76.7,21.9,-1.49,19.49,-0.15
0.552,2.1,73.9,21.5,-1.52,19.53,-0.14
0.554,1.6,74.4,22.5,-1.38,19.57,0.04
0.556,2.2,74.9,22.3,-1.75,19.51,-0.11
0.558,3.4,73.1,21.7,-1.64,19.51,0.02
0.56,2.7,74.2,22.5,-1.5,19.67,-0.05
0.562,2.3,74.1,22.3,-1.49,19.59,-0.05
0.564,3,72.6,21.2,-1.56,19.52,-0.26
0.566,2.9,72.2,21.1,-1.56,19.49,-0.1
0.568,2.7,73.9,21.6,-1.69,19.55,-0.08
0.57,4.3,71.3,21.2,-1.69,19.53,-0.11
0.572,3.9,71.8,21.6,-1.52,19.63,-0.14
0.574,3.8,71.8,21.7,-1.66,19.57,-0.18
0.576,3.9,69.3,21.7,-1.69,19.68,-0.05
0.578,5.6,68.7,21.1,-1.52,19.58,-0.12
0.58,5.1,71.6,21.6,-1.6,19.71,-0.11
0.582,6,68.9,21.2,-1.67,19.48,-0.3
0.584,5.6,67.9,21.1,-1.74,19.6,-0.11
0.586,5.1,69.2,20.9,-1.51,19.55,-0.07
0.588,5.3,69.3,21.3,-1.67,19.83,-0.05
0.59,5.2,67.6,20.1,-1.62,19.64,-0.15
0.592,6.7,67.2,20.1,-1.7,19.64,-0.01
0.594,5.3,67.6,19.8,-1.59,19.76,-0.15
0.596,6.9,65.8,20.2,-1.73,19.61,-0.04
0.598,7.2,66.5,20.2,-1.73,19.7,-0.04
0.6,7.2,66.8,20,-1.73,19.72,-0.04
0.602,6.2,64.9,19.7,-1.59,19.69,-0.21
0.604,7,64.1,18.8,-1.77,19.71,0
0.606,7,64.1,18.6,-1.57,19.64,-0.13
0.608,5.4,64.5,19.6,-1.84,19.72,-0.15
0.61,8.5,62,18.8,-1.89,19.45,-0.11
0.612,7.5,64.7,19,-1.85,19.69,-0.14
0.614,7,64.6,18.8,-1.51,19.8,-0.12
0.616,8.1,63,19,-1.71,19.83,0.07
0.618,8.1,64.8,18.3,-1.69,19.7,-0.25
0.62,9.1,61.8,17.7,-1.69,19.83,-0.22
0.622,9,61.9,18.8,-1.74,19.77,-0.01
0.624,8.6,63,18.3,-1.52,19.84,-0.28
0.626,8.8,61.1,17.5,-1.88,19.9,0.05
0.628,9.1,60.8,17.4,-1.52,19.79,-0.13
0.63,9,60.4,16.7,-1.68,19.79,0.08
0.632,10,60.6,17.2,-1.78,19.61,-0.24
0.634,9.1,57.4,16.3,-1.73,19.69,-0.02
0.636,9.9,58.5,17.3,-1.7,19.75,-0.02
0.638,9.3,58.7,16.8,-1.79,19.8,-0.1
0.64,10.2,58,16.5,-1.53,19.81,-0.13
0.642,10.2,58.2,16.6,-1.73,20.06,-0.01
0.644,10.7,57.8,16.3,-1.74,19.76,-0.16
0.646,9.6,56.1,15.6,-1.75,19.93,-0.22
0.648,10.7,56.9,15.9,-1.73,19.79,-0.08
0.65,10.8,55.3,15.5,-1.72,19.91,-0.12
0.652,11.2,54.5,15.3,-1.9,19.75,-0.01
0.654,10.5,56.1,15.3,-1.64,20.02,-0.13
0.656,10.1,52.4,14.8,-1.78,19.85,-0.01
0.658,10.5,53.8,14.7,-1.73,19.9,0
0.66,10.3,51.7,14.3,-1.69,20.06,0.03
0.662,12.6,50.9,13.8,-1.92,19.78,0.04
0.664,12.6,50.8,14,-1.84,19.82,-0.05
0.666,11.3,50.9,13.2,-1.74,20.03,0.04
0.668,12.1,50.6,13.7,-1.94,19.85,-0.06
0.67,12.2,49.4,13.5,-1.9,19.81,-0.1
0.672,11.5,49.2,13.5,-1.75,20.09,0.19
0.674,11.4,49.2,12.9,-1.81,19.89,0
0.676,12,48.9,12.7,-1.72,19.99,-0.1
0.678,12.8,49,13,-1.73,19.99,-0.07
0.68,11.5,46.6,12.3,-1.8,19.89,-0.08
0.682,11.6,48.3,12,-1.82,20.12,-0.06
0.684,12.9,46.3,11.8,-1.69,19.94,-0.09
0.686,12.1,46.9,10.2,-1.81,20.09,0.04
0.688,11.4,46.6,10.2,-1.77,19.94,0.05
0.69,12.6,47.1,10.8,-1.85,19.9,-0.14
0.692,12.4,46.7,9.6,-1.9,19.97,-0.01
0.694,13.1,47,10.8,-1.77,19.95,-0.06
0.696,12.8,45.3,10.6,-1.67,20.11,0.01
0.698,13,46.1,7.8,-1.98,19.85,0.09
0.7,12.7,45.9,8.9,-1.95,20.02,-0.04
0.702,12.7,45.9,8.3,-1.9,19.86,-0.1
0.704,11.7,46.9,8.3,-1.79,20.21,0.04
0.706,11.9,44.5,7.3,-1.64,20.1,0.02
0.708,12.6,42.5,7.9,-1.93,19.98,-0.03
0.71,10.7,45.1,7.8,-1.93,19.99,0.02
0.712,12.5,43.6,7,-1.56,20.11,-0.14
0.714,10.7,43.7,6.4,-1.93,20.13,0.19
0.716,11.3,45.5,5.7,-1.83,20.1,-0.08
0.718,12.8,43.8,5.3,-1.93,20,-0.03
0.72,12,45.9,5.3,-1.93,20.12,-0.05
0.722,9.8,44.4,6.2,-1.79,20.23,0.01
0.724,11.8,45,5.5,-1.67,20.14,0.07
0.726,12.1,44.9,3.8,-2.01,20.06,0.05
0.728,13.1,46.4,3.7,-1.94,20.09,-0.02
0.73,10.5,44.4,4.3,-1.84,20.27,0.15
0.732,9.5,45,3.3,-1.75,20.2,0.14
0.734,11.8,46.4,3.6,-2,20.17,0.06
0.736,10,44.7,2,-1.92,20.11,0.07
0.738,11.3,45.4,2.1,-1.91,20.17,0.1
0.74,11.4,46.7,2.3,-1.88,20.16,0.09
0.742,10.1,45.2,1.9,-1.96,20.14,0.15
0.744,9.1,45.2,1.2,-1.84,20.23,-0.01
0.746,10.3,47.8,0.6,-1.87,20.22,0.16
0.748,12.5,45.5,0.8,-2.01,20.13,0.15
0.75,10.1,47.5,0,-1.85,20.16,-0.02
0.752,7.9,45.2,-1.5,-2.02,20.19,0.19
0.754,8.9,46.8,-0.7,-1.86,20.16,0.17
0.756,10,49,-1.2,-1.92,20.25,0.18
0.758,10.1,49,-0.7,-2.03,20.24,0.08
0.76,10.7,47.4,-3.3,-2.04,20.08,0.15
0.762,8.2,49,-1.3,-1.83,20.36,0.17
0.764,7.5,51,-2.5,-1.9,20.34,0.34
0.766,9.6,51.1,-3.7,-1.92,20.13,0.14
0.768,9,51.8,-4.9,-2.02,20.32,0.32
0.77,8.6,54.1,-3.7,-1.83,20.34,0.07
0.772,7.4,52.6,-5.2,-1.82,20.41,0.24
0.774,7.1,53.2,-5.3,-1.86,20.13,0.21
0.776,6.1,53,-5.8,-1.99,20.19,0.26
0.778,4.7,54.3,-6.1,-1.79,20.3,0.02
0.78,7.4,56.2,-7.1,-1.94,20.27,0.38
0.782,6,59,-5.9,-1.88,20.32,0.04
0.784,3.8,56.9,-7.5,-1.87,20.27,0.17
0.786,5.3,60,-7.5,-1.94,20.26,0.13
0.788,2,58.5,-7.7,-1.83,20.36,0.17
0.79,4.9,61.3,-6.7,-1.98,20.15,0.14
0.792,3.4,59.6,-8,-1.92,20.54,0.13
0.794,4.4,66.1,-8.8,-1.77,20.23,0.11
0.796,1.5,62.7,-9.9,-1.93,20.52,0.45
0.798,1.1,67.2,-11.2,-1.82,20.15,0.15
0.8,1.8,63.7,-11.8,-1.96,20.51,0.25
0.802,2.5,68.8,-10.7,-1.83,20.32,0.29
0.804,0.2,67.2,-10.8,-1.87,20.61,0.26
0.806,5.1,71.5,-10.8,-1.85,20.23,0.26
0.808,0.6,68.2,-11.4,-1.79,20.65,0.26
0.81,3,72.3,-13.1,-1.97,20.15,0.36
0.812,0.7,72,-12.9,-1.81,20.53,0.17
0.814,-0.9,74.6,-12.1,-1.84,20.57,0.22
0.816,-1.3,73.1,-12.4,-1.84,20.47,0.08
0.818,-0.9,77.4,-13,-1.84,20.38,0.1
0.82,0,77.4,-13.1,-1.83,20.59,0.16
0.822,-0.4,82.2,-12.7,-1.81,20.48,0.12
0.824,-0.1,80.4,-13.5,-1.71,20.56,0.25
0.826,-3.2,82.5,-14,-1.7,20.63,0.29
0.828,-2.6,82.7,-13.9,-1.76,20.48,0.1
0.83,-1.1,86.3,-13.7,-1.9,20.47,0.33
0.832,-1.6,87.6,-15.2,-1.73,20.63,0.2
0.834,-3.7,89,-14.5,-1.87,20.49,0.37
0.836,-2.8,88.1,-15.7,-1.68,20.58,0.31
0.838,-2.5,88.6,-12.9,-1.81,20.59,0.35
0.84,-2.5,94.7,-15,-1.86,20.53,0.33
0.842,-3.7,93,-14.5,-1.67,20.69,0.15
0.844,-5.7,93.8,-15.7,-1.63,20.45,0.23
0.846,-6.2,96.6,-16.7,-1.82,20.63,0.28
0.848,-6.8,95.4,-15.4,-1.56,20.67,0.06
0.85,-4.6,100.6,-15.8,-1.86,20.55,0.27
0.852,-7.2,101.9,-15.9,-1.54,20.87,-0.01
0.854,-7.1,101.2,-16.8,-1.63,20.68,0.34
0.856,-5.2,106.1,-16.6,-1.87,20.66,0.23
0.858,-7.5,104.3,-16.7,-1.56,20.66,0.21
0.86,-6.1,107.4,-18.4,-1.83,20.64,0.29
0.862,-7.7,108.9,-18.7,-1.66,20.61,0.31
0.864,-8.4,110.3,-17.3,-1.69,20.64,0.2
0.866,-6.5,109.9,-16.5,-1.94,20.63,0.46
0.868,-7.9,113.6,-17.3,-1.67,20.77,0.11
0.87,-9,113.2,-15.4,-1.83,20.8,0.37
0.872,-9.6,116.9,-16.1,-1.51,20.94,0.18
0.874,-7.8,118.1,-18.9,-1.75,20.6,0.14
0.876,-4.9,122.1,-16.5,-1.81,20.8,0.32
0.878,-8.2,125,-16.3,-1.63,20.65,0.18
0.88,-10.1,123.5,-18.4,-1.7,20.94,0.34
0.882,-9.4,125.4,-17,-1.56,20.69,0.3
0.884,-10.7,129.5,-15.9,-1.61,20.82,0.22
0.886,-10.9,127.8,-16.2,-1.68,20.82,0.29
0.888,-11.2,130.9,-17.9,-1.52,20.92,0.15
0.89,-10.9,134.1,-17.7,-1.5,20.76,0.03
0.892,-11.2,131.6,-17.5,-1.55,20.9,0.21
0.894,-10.2,139.5,-17,-1.39,20.74,-0.06
0.896,-13.7,135.8,-18.6,-1.6,21.01,0.28
0.898,-10.7,141.6,-14.5,-1.44,20.84,0.13
0.9,-11.6,141.6,-17.7,-1.53,20.95,0.23
0.902,-13.2,142.8,-19.1,-1.61,20.87,0.25
0.904,-11.6,145.3,-17.3,-1.47,20.92,0.19
0.906,-11.6,146.7,-17.4,-1.54,20.9,0.26
0.908,-10.8,151.3,-15.7,-1.51,21.08,0.19
0.91,-8.3,152.3,-16.3,-1.55,20.88,0.28
0.912,-12.8,153.3,-16.5,-1.64,21,0.3
0.914,-13.3,155.4,-16.5,-1.54,20.97,0.29
0.916,-13.5,155,-16,-1.41,21.03,0.14
0.918,-12.7,156.7,-17.5,-1.53,20.97,0.16
0.92,-14.6,158.7,-16.6,-1.48,21,0.05
0.922,-11.4,166,-16.1,-1.51,20.77,0.06
0.924,-14.4,162.1,-11.4,-1.32,21.24,0.14
0.926,-12.3,165.6,-15.1,-1.38,20.79,0.35
0.928,-16.5,171,-13.5,-1.83,21.21,0.12
0.93,-11.4,167.2,-14.5,-1.65,20.88,0.34
0.932,-16.5,169.5,-14,-1.4,21.21,0.25
0.934,-15.4,171.7,-14.4,-1.47,21.13,0.23
0.936,-14.6,175.9,-12.7,-1.32,21.14,-0.07
