Flight_Time_(s),Temperature_(F),Baro_Press_(atm),Velocity_Up,Velocity_DR,Velocity_CR,Tilt_Angle_(deg),Baro_Altitude_ASL_(feet)
0,68,0.9538,52,-1,1,0,1301.9
0.02,68,0.9538,63,-1,2,3.1,1301.9
0.04,68,0.9542,74,-1,2,3.1,1292.1
0.06,68,0.9542,85,-1,3,3.1,1292.1
0.08,68,0.9541,96,-1,3,3.1,1294.4
0.1,68,0.9541,107,-1,3,2.9,1294.4
0.12,68,0.9537,118,-2,4,2.9,1305.9
0.14,68,0.9537,129,-1,4,2.8,1305.3
0.16,68,0.9534,141,-1,5,2.8,1314
0.18,68,0.9534,152,-2,5,2.8,1314.6
0.2,68,0.9532,163,-1,6,2.9,1320.3
0.22,68,0.9532,174,-1,6,2.9,1320.3
0.24,68,0.953,186,-1,7,3,1325.5
0.26,68,0.953,197,-1,8,3.2,1325.5
0.28,68,0.9528,209,-1,8,3.3,1331.2
0.3,68,0.9528,220,-1,9,3.5,1331.2
0.32,68,0.9527,231,-1,10,3.7,1335.3
0.34,68,0.9527,243,-1,11,4,1335.3
0.36,68,0.9525,254,-2,12,4.2,1340.4
0.38,68,0.9525,266,-2,13,4.5,1341
0.4,68,0.9523,278,-2,14,4.9,1346.8
0.42,68,0.9523,289,-2,15,5.2,1346.2
0.44,68,0.9518,301,-2,16,5.5,1360
0.46,68,0.9518,312,-3,17,5.9,1360.6
0.48,68,0.9513,324,-3,19,6.3,1376.2
0.5,68,0.9513,336,-4,20,6.6,1376.2
0.52,68,0.9511,347,-4,22,7,1380.2
0.54,68,0.9511,359,-5,24,7.4,1380.2
0.56,68,0.9508,371,-6,25,7.7,1390
0.58,68,0.9508,383,-7,27,8.1,1390
0.6,68,0.9503,395,-8,29,8.4,1403.8
0.62,68,0.9503,407,-9,31,8.7,1403.3
0.64,68,0.9501,419,-10,33,8.9,1410.8
0.66,68,0.9501,431,-12,35,9.2,1410.8
0.68,68,0.9496,443,-13,36,9.4,1424.6
0.7,68,0.9496,455,-15,38,9.5,1425.2
0.72,68,0.9491,467,-17,40,9.6,1439.6
0.74,68,0.9491,479,-19,42,9.6,1439
0.76,68,0.9489,491,-21,43,9.6,1443.7
0.78,68,0.9489,503,-23,45,9.5,1443.7
0.8,68,0.9484,515,-25,46,9.3,1458.7
0.82,68,0.9484,528,-27,47,9,1459.2
0.84,68,0.9476,540,-28,49,8.7,1481.8
0.86,68,0.9476,553,-30,50,8.3,1481.2
0.88,68,0.9469,565,-32,51,7.9,1500.9
0.9,68,0.9469,578,-33,52,7.5,1500.9
0.92,68,0.9464,591,-35,53,7.1,1516.5
0.94,68,0.9464,603,-36,55,6.8,1517.1
0.96,68,0.9457,616,-37,56,6.5,1537.9
0.98,68,0.9457,629,-38,57,6.2,1537.9
1,68,0.9451,643,-39,58,6,1553.5
1.02,68,0.9451,656,-40,59,5.9,1553.5
1.04,68,0.9445,669,-41,61,5.9,1572.1
1.06,68,0.9445,682,-42,62,5.9,1572.1
1.08,68,0.944,696,-43,63,5.9,1587.2
1.1,68,0.944,709,-44,64,6,1587.2
1.12,68,0.9432,722,-46,66,6.1,1609.8
1.14,68,0.9432,736,-47,67,6.2,1609.8
1.16,68,0.9424,749,-48,68,6.3,1632.4
1.18,68,0.9424,763,-50,70,6.4,1632.4
1.2,68,0.9418,777,-52,71,6.4,1651
1.22,68,0.9418,790,-54,72,6.4,1651
1.24,68,0.9408,804,-55,73,6.3,1678.9
1.26,68,0.9408,817,-57,74,6.2,1678.9
1.28,68,0.9399,831,-59,75,6,1704.5
1.3,68,0.9399,845,-61,75,5.8,1705.1
1.32,68,0.9391,859,-62,76,5.6,1727.8
1.34,68,0.9391,872,-63,77,5.5,1727.8
1.36,68,0.9383,886,-65,77,5.4,1752.8
1.38,68,0.9382,900,-65,78,5.5,1753.4
1.4,68,0.9368,914,-66,79,5.7,1796
1.42,68,0.9368,928,-67,80,6.1,1796
1.44,68,0.9351,941,-67,81,6.6,1844.5
1.46,68,0.9351,955,-68,82,7.2,1844.5
1.48,68,0.9335,969,-69,84,7.8,1893
1.5,68,0.9335,983,-69,86,8.4,1893
1.52,68,0.9325,996,-70,88,9,1921.7
1.54,68,0.9325,1010,-71,90,9.5,1921.7
1.56,68,0.9313,1023,-73,92,9.8,1955.7
1.58,68,0.9313,1036,-74,94,10.1,1955.7
1.6,68,0.9303,1049,-75,96,10.1,1984.4
1.62,68,0.9303,1062,-77,99,10.1,1984.4
1.64,68,0.9293,1075,-78,101,10,2014.3
1.66,67.9,0.9293,1088,-80,102,10,2014.9
1.68,67.9,0.9282,1101,-81,104,10,2046.1
1.7,67.9,0.9282,1114,-82,106,9.9,2046.1
1.72,67.9,0.9273,1127,-84,108,10,2073.7
1.74,67.9,0.9273,1139,-85,110,10.3,2073.7
1.76,67.9,0.9249,1151,-87,111,10.5,2143.8
1.78,67.9,0.9249,1163,-88,113,10.6,2143.8
1.8,67.9,0.9246,1176,-90,115,10.6,2152.6
1.82,67.9,0.9246,1188,-92,117,10.7,2152.6
1.84,67.9,0.9177,1200,-94,119,10.7,2356.7
1.86,67.9,0.9177,1212,-95,121,10.7,2357.3
1.88,67.9,0.9178,1224,-97,123,10.7,2354.3
1.9,67.9,0.9178,1237,-98,125,10.6,2354.3
1.92,67.9,0.9185,1249,-100,127,10.7,2334.2
1.94,67.9,0.9185,1261,-102,129,10.7,2334.8
1.96,67.9,0.9168,1273,-104,131,10.8,2384
1.98,67.9,0.9168,1285,-106,133,10.7,2384
2,67.9,0.9143,1297,-108,134,10.7,2457.7
2.02,67.9,0.9143,1309,-110,136,10.6,2457.7
2.04,67.9,0.9128,1320,-112,138,10.6,2504.2
2.06,67.9,0.9127,1330,-114,139,10.5,2504.7
2.08,67.9,0.9117,1339,-116,141,10.4,2536.3
2.1,67.9,0.9117,1348,-117,142,10.4,2536.3
2.12,67.9,0.9106,1356,-119,143,10.3,2568.6
2.14,67.9,0.9106,1363,-121,144,10.4,2568.6
2.16,67.9,0.9082,1370,-122,145,10.4,2641.5
2.18,67.9,0.9082,1376,-124,146,10.6,2641.5
2.2,67.9,0.905,1382,-125,147,10.9,2735
2.22,67.9,0.905,1387,-127,148,11,2735
2.24,67.9,0.9022,1391,-128,149,11.2,2821.5
2.26,67.9,0.9022,1396,-130,150,11.3,2821.5
2.28,67.9,0.899,1401,-131,151,11.4,2916.7
2.3,67.9,0.899,1405,-133,152,11.6,2917.3
2.32,67.9,0.8971,1410,-135,153,12,2974.6
2.34,67.9,0.8971,1414,-137,155,12.4,2974.6
2.36,67.9,0.8907,1419,-139,157,12.7,3166.7
2.38,67.9,0.8907,1423,-141,158,13,3166.7
2.4,67.9,0.8862,1426,-144,161,13.5,3304.4
2.42,67.9,0.8862,1429,-146,163,13.9,3304.4
2.44,67.9,0.8819,1431,-148,165,14.2,3437.1
2.46,67.9,0.8819,1433,-150,167,14.2,3437.7
2.48,67.9,0.8797,1434,-152,170,14.5,3503.3
2.5,67.9,0.8797,1435,-154,172,14.5,3502.7
2.52,67.9,0.8793,1436,-155,174,14.6,3516.2
2.54,67.9,0.8793,1436,-157,177,14.6,3516.8
2.56,67.9,0.878,1436,-158,179,14.9,3557.4
2.58,67.9,0.878,1436,-159,181,14.8,3557.4
2.6,67.9,0.8759,1435,-161,182,14.8,3620.2
2.62,67.9,0.8759,1434,-162,184,14.8,3620.2
2.64,67.9,0.8735,1433,-163,186,14.9,3695.4
2.66,67.8,0.8735,1431,-164,188,14.8,3695.4
2.68,67.8,0.8721,1429,-165,190,15.1,3739.3
2.7,67.9,0.8721,1427,-166,192,15.2,3738.7
2.72,67.9,0.8713,1424,-167,194,15.5,3762.8
2.74,67.8,0.8713,1420,-167,195,15.5,3763.4
2.76,67.8,0.8692,1417,-168,197,15.5,3826.6
2.78,67.8,0.8692,1413,-169,198,15.5,3827.2
2.8,67.8,0.8681,1410,-169,200,15.7,3862
2.82,67.8,0.8681,1406,-170,201,15.7,3862
2.84,67.8,0.8672,1402,-170,202,15.6,3890.5
2.86,67.8,0.8672,1398,-171,203,15.8,3890.5
2.88,67.8,0.8659,1394,-171,204,15.9,3929.7
2.9,67.8,0.8659,1390,-171,206,15.9,3930.3
2.92,67.8,0.8646,1385,-172,207,15.9,3971.4
2.94,67.8,0.8646,1381,-172,208,15.9,3970.7
2.96,67.8,0.8629,1377,-173,209,15.8,4022.5
2.98,67.8,0.8629,1373,-173,210,16.1,4022.5
3,67.8,0.8617,1369,-173,211,16,4060.5
3.02,67.8,0.8617,1365,-173,212,15.9,4060.5
3.04,67.8,0.8609,1361,-173,213,15.9,4086.8
3.06,67.8,0.8609,1357,-173,214,15.9,4086.8
3.08,67.8,0.8596,1352,-174,215,15.9,4127.4
3.1,67.8,0.8596,1348,-174,216,16.2,4127.4
3.12,67.8,0.858,1344,-174,217,16.3,4176.2
3.14,67.8,0.858,1340,-174,218,16.4,4176.2
3.16,67.8,0.8564,1336,-174,219,16.6,4228.3
3.18,67.8,0.8564,1332,-175,220,16.5,4228.3
3.2,67.8,0.8548,1328,-175,221,16.7,4276
3.22,67.8,0.8548,1324,-175,222,16.7,4276
3.24,67.8,0.8534,1320,-175,223,16.8,4321.9
3.26,67.8,0.8534,1316,-175,224,16.8,4321.9
3.28,67.8,0.8522,1312,-175,224,16.8,4360.3
3.3,67.8,0.8522,1308,-175,225,16.8,4360.3
3.32,67.8,0.8507,1304,-176,226,17,4407.6
3.34,67.8,0.8507,1301,-176,227,17.1,4407.6
3.36,67.8,0.8487,1297,-176,227,17.3,4468.8
3.38,67.8,0.8487,1293,-177,228,17.3,4469.5
3.4,67.8,0.8471,1289,-177,229,17.2,4518.8
3.42,67.8,0.8472,1285,-177,229,17.3,4518.2
3.44,67.8,0.8457,1281,-177,230,17.5,4563.1
3.46,67.8,0.8457,1277,-177,230,17.6,4563.1
3.48,67.8,0.8446,1274,-178,231,17.7,4598.7
3.5,67.8,0.8446,1270,-178,231,17.7,4598.7
3.52,67.8,0.8432,1266,-178,232,17.7,4645
3.54,67.8,0.8432,1262,-179,232,17.7,4645
3.56,67.8,0.8416,1258,-179,232,17.8,4694.6
3.58,67.8,0.8416,1255,-180,233,17.8,4695.2
3.6,67.8,0.84,1251,-180,233,17.9,4744.9
3.62,67.8,0.84,1247,-181,233,18,4744.9
3.64,67.8,0.8388,1244,-181,234,18,4785.1
3.66,67.8,0.8388,1240,-181,234,18.2,4785.1
3.68,67.8,0.8373,1236,-182,234,18.2,4830.4
3.7,67.8,0.8374,1233,-183,234,18.3,4829.8
3.72,67.8,0.8359,1229,-183,234,18.3,4875.2
3.74,67.8,0.8359,1225,-184,234,18.3,4875.2
3.76,67.8,0.834,1222,-184,234,18.3,4936
3.78,67.8,0.834,1218,-185,234,18.3,4936.7
3.8,67.8,0.8332,1215,-185,234,18.3,4964.3
3.82,67.8,0.8332,1211,-186,234,18.3,4964.3
3.84,67.8,0.8318,1208,-187,233,18.3,5007.9
3.86,67.8,0.8318,1204,-187,233,18.3,5007.9
3.88,67.8,0.8303,1201,-188,233,18.2,5056.8
3.9,67.8,0.8303,1197,-189,232,18.1,5056.8
3.92,67.8,0.8284,1194,-189,232,18.1,5118
3.94,67.8,0.8284,1190,-190,231,18,5118
3.96,67.8,0.8269,1187,-191,231,17.9,5165
3.98,67.8,0.8269,1184,-191,230,17.8,5165
4,67.8,0.8256,1180,-192,229,17.5,5209
4.02,67.8,0.8256,1177,-192,229,17.4,5209
4.04,67.8,0.8243,1174,-193,228,17.2,5249.7
4.06,67.8,0.8243,1171,-193,227,17,5250.4
4.08,67.8,0.8229,1168,-194,226,16.8,5295.7
4.1,67.8,0.8229,1164,-194,225,16.7,5295.7
4.12,67.8,0.8212,1161,-195,224,16.5,5349.5
4.14,67.8,0.8212,1158,-195,223,16.4,5349.5
4.16,67.8,0.8199,1155,-196,222,16.2,5391.1
4.18,67.8,0.8199,1152,-196,221,16,5391.1
4.2,67.8,0.8182,1149,-196,219,15.7,5446.4
4.22,67.8,0.8182,1146,-197,218,15.5,5446.4
4.24,67.8,0.8167,1143,-197,217,15.3,5495.3
4.26,67.8,0.8167,1140,-197,215,15.2,5495.3
4.28,67.8,0.8152,1137,-197,214,15,5544.2
4.3,67.8,0.8152,1134,-197,213,14.7,5544.8
4.32,67.8,0.8138,1131,-197,211,14.5,5592.6
4.34,67.8,0.8137,1128,-197,210,14.3,5593.2
4.36,67.8,0.8124,1126,-197,209,14.1,5635.7
4.38,67.8,0.8124,1123,-196,207,13.8,5635.7
4.4,67.8,0.8109,1120,-196,206,13.6,5684.9
4.42,67.8,0.8109,1117,-195,204,13.3,5684.9
4.44,67.8,0.8093,1114,-195,203,13.1,5737.4
4.46,67.8,0.8093,1112,-194,202,12.9,5738.1
4.48,67.8,0.808,1109,-194,200,12.8,5782.7
4.5,67.8,0.808,1106,-193,199,12.7,5782.7
4.52,67.8,0.8067,1104,-193,198,12.6,5824.2
4.54,67.8,0.8067,1101,-192,197,12.6,5824.2
4.56,67.8,0.8059,1098,-191,195,12.7,5851.9
4.58,67.8,0.8059,1096,-190,194,12.7,5851.9
4.6,67.8,0.8046,1093,-189,193,12.7,5892.1
4.62,67.8,0.8046,1090,-188,192,12.7,5892.1
4.64,67.8,0.8041,1088,-187,191,12.8,5911.3
4.66,67.8,0.8041,1085,-186,190,12.9,5911.3
4.68,67.8,0.8046,1083,-185,190,13,5892.1
4.7,67.8,0.8046,1080,-184,189,13,5892.1
4.72,67.8,0.8043,1078,-183,188,13.1,5903.3
4.74,67.8,0.8043,1075,-182,187,13.3,5903.3
4.76,67.8,0.8046,1073,-181,187,13.4,5894.1
4.78,67.8,0.8046,1070,-180,186,13.6,5893.4
4.8,67.8,0.8018,1068,-179,186,13.8,5987.3
4.82,67.8,0.8018,1066,-178,186,14.1,5987.3
4.84,67.8,0.7988,1063,-177,185,14.3,6085.4
4.86,67.8,0.7988,1061,-176,185,14.5,6085.4
4.88,67.8,0.7955,1059,-175,185,14.8,6193.8
4.9,67.8,0.7955,1056,-174,185,15,6194.4
4.92,67.8,0.7962,1054,-173,185,15.3,6171.1
4.94,67.8,0.7962,1052,-172,185,15.5,6171.1
4.96,67.8,0.7967,1049,-171,185,15.8,6153.8
4.98,67.8,0.7967,1047,-171,185,16.1,6153.8
5,67.8,0.7952,1045,-170,185,16.4,6203.8
5.02,67.8,0.7952,1042,-169,185,16.7,6203.8
5.04,67.8,0.7942,1040,-168,185,17,6237.8
5.06,67.8,0.7942,1038,-168,186,17.3,6238.4
5.08,67.8,0.7932,1035,-167,186,17.5,6272.5
5.1,67.8,0.7932,1033,-167,186,17.7,6272.5
5.12,67.8,0.7922,1031,-166,186,17.9,6306.5
5.14,67.8,0.7922,1028,-166,187,18,6306.5
5.16,67.8,0.791,1026,-165,187,18.2,6344
5.18,67.8,0.791,1024,-165,187,18.4,6344
5.2,67.8,0.7901,1021,-165,187,18.5,6374.8
5.22,67.8,0.7901,1019,-165,188,18.7,6374.8
5.24,67.8,0.789,1017,-165,188,18.9,6412.3
5.26,67.8,0.789,1014,-165,188,19,6412.3
5.28,67.8,0.788,1012,-165,188,19.1,6446.5
5.3,67.8,0.788,1010,-165,189,19.3,6447.2
5.32,67.8,0.7867,1008,-165,189,19.3,6489.5
5.34,67.7,0.7867,1006,-165,189,19.4,6489.5
5.36,67.7,0.7856,1003,-165,189,19.4,6525.8
5.38,67.7,0.7856,1001,-165,189,19.5,6525.8
5.4,67.7,0.7845,999,-165,189,19.4,6562.2
5.42,67.8,0.7846,997,-165,189,19.4,6561.5
5.44,67.8,0.7837,995,-166,189,19.4,6591.1
5.46,67.7,0.7837,992,-166,189,19.3,6591.1
5.48,67.7,0.7826,990,-166,189,19.2,6627.6
5.5,67.7,0.7826,988,-167,189,19.1,6627.6
5.52,67.7,0.7815,986,-167,189,19,6664
5.54,67.7,0.7815,984,-167,188,18.9,6663.4
5.56,67.7,0.7804,982,-168,188,18.8,6701.2
5.58,67.7,0.7804,980,-168,188,18.7,6701.2
5.6,67.7,0.7794,978,-168,187,18.5,6734.4
5.62,67.7,0.7794,976,-169,187,18.4,6735.1
5.64,67.7,0.7783,974,-169,187,18.2,6774.4
5.66,67.7,0.7783,973,-169,186,18,6774.4
5.68,67.7,0.7773,971,-170,186,17.8,6807.6
5.7,67.7,0.7773,969,-170,185,17.6,6807.6
5.72,67.7,0.7762,967,-170,185,17.4,6843.6
5.74,67.7,0.7762,965,-170,184,17.2,6843.6
5.76,67.7,0.7752,964,-171,183,16.9,6876.9
5.78,67.7,0.7752,962,-171,183,16.7,6877.6
5.8,67.7,0.7742,960,-171,182,16.4,6912.3
5.82,67.7,0.7742,959,-171,181,16.2,6911.6
5.84,67.7,0.7732,957,-171,181,15.9,6947
5.86,67.7,0.7732,955,-171,180,15.6,6947
5.88,67.7,0.7723,954,-171,179,15.3,6977
5.9,67.7,0.7723,952,-171,179,15.1,6977
5.92,67.7,0.771,951,-171,178,14.9,7020.1
5.94,67.7,0.771,949,-171,177,14.6,7020.1
5.96,67.7,0.77,948,-171,176,14.4,7057
5.98,67.7,0.77,946,-171,176,14.2,7057
6,67.7,0.7691,945,-171,175,14,7085
6.02,67.7,0.7691,943,-170,174,13.8,7085
6.04,67.7,0.7681,942,-170,173,13.7,7119.9
6.06,67.7,0.7681,940,-170,173,13.5,7120.6
6.08,67.7,0.767,939,-169,172,13.3,7157.7
6.1,67.7,0.767,938,-169,171,13.2,7157
6.12,67.7,0.7661,936,-169,171,13.1,7190.6
6.14,67.7,0.7661,935,-168,170,13.1,7189.9
6.16,67.7,0.765,933,-168,170,13.1,7227
6.18,67.7,0.765,932,-167,169,13.2,7227.7
6.2,67.7,0.764,931,-166,169,13.3,7260.7
6.22,67.7,0.764,929,-166,168,13.5,7261.4
6.24,67.7,0.763,928,-165,168,13.7,7294.5
6.26,67.7,0.763,926,-164,168,13.9,7294.5
6.28,67.7,0.762,925,-164,168,14.2,7331.7
6.3,67.7,0.762,923,-163,167,14.5,7331.7
6.32,67.7,0.7609,922,-162,167,14.9,7366.9
6.34,67.7,0.7609,921,-162,167,15.3,7366.9
6.36,67.7,0.7601,919,-161,167,15.7,7397.3
6.38,67.7,0.7601,918,-160,168,16.1,7397.3
6.4,67.7,0.7591,916,-160,168,16.6,7431.2
6.42,67.7,0.7591,915,-159,168,17.1,7431.2
6.44,67.7,0.758,913,-159,168,17.6,7467.8
6.46,67.7,0.758,911,-159,169,18.1,7467.8
6.48,67.7,0.7569,910,-159,169,18.5,7505.3
6.5,67.7,0.7569,908,-158,169,18.9,7505.3
6.52,67.7,0.7561,907,-158,170,19.2,7535.8
6.54,67.7,0.7561,905,-158,170,19.4,7535.8
6.56,67.7,0.7551,903,-159,170,19.6,7569.8
6.58,67.7,0.7551,902,-159,170,19.8,7569.8
6.6,67.7,0.7541,900,-159,171,19.7,7605.3
6.62,67.7,0.7541,898,-159,171,19.7,7605.3
6.64,67.7,0.7532,897,-160,170,19.5,7635.9
6.66,67.7,0.7532,895,-160,170,19.2,7635.9
6.68,67.7,0.7524,894,-161,170,18.9,7663.1
6.7,67.7,0.7524,892,-161,170,18.4,7663.1
6.72,67.7,0.7514,891,-161,169,17.9,7698.6
6.74,67.7,0.7514,889,-162,169,17.3,7699.3
6.76,67.7,0.7504,888,-162,168,16.6,7733.5
6.78,67.7,0.7504,887,-162,167,15.9,7732.8
6.8,67.7,0.7493,885,-162,166,15.2,7770.6
6.82,67.7,0.7493,884,-162,166,14.5,7770.6
6.84,67.7,0.7483,883,-162,165,13.8,7804.8
6.86,67.7,0.7483,881,-162,164,13.2,7804.8
6.88,67.7,0.7475,880,-161,164,12.7,7833.5
6.9,67.7,0.7475,879,-161,163,12.5,7833.5
6.92,67.7,0.7467,877,-160,163,12.5,7863
6.94,67.7,0.7467,876,-159,162,12.6,7863
6.96,67.7,0.7457,875,-159,162,13,7897.3
6.98,67.7,0.7457,873,-158,162,13.5,7897.3
7,67.7,0.7446,872,-157,162,14.1,7934.6
7.02,67.7,0.7446,871,-156,162,14.9,7934.6
7.04,67.7,0.744,869,-156,162,15.7,7958.5
7.06,67.6,0.7439,868,-155,162,16.5,7959.2
7.08,67.6,0.7431,866,-155,163,17.2,7990.1
7.1,67.6,0.7431,865,-155,163,18,7990.1
7.12,67.6,0.7421,863,-155,164,18.7,8023.9
7.14,67.6,0.7421,862,-155,164,19.2,8024.6
7.16,67.6,0.7411,860,-155,164,19.6,8058.5
7.18,67.6,0.7411,859,-155,165,19.9,8059.2
7.2,67.6,0.7402,857,-155,165,20,8091.6
7.22,67.6,0.7402,855,-156,165,19.9,8091.6
7.24,67.6,0.7393,854,-156,165,19.7,8122.7
7.26,67.6,0.7393,852,-157,165,19.3,8122.7
7.28,67.6,0.7386,851,-157,164,18.8,8148.2
7.3,67.6,0.7386,849,-158,164,18.1,8148.9
7.32,67.6,0.7375,848,-158,164,17.4,8185
7.34,67.6,0.7375,847,-158,163,16.6,8185
7.36,67.6,0.7368,845,-159,162,15.7,8210.5
7.38,67.6,0.7368,844,-159,161,14.8,8211.2
7.4,67.6,0.7358,843,-159,161,13.9,8247.4
7.42,67.6,0.7358,842,-158,160,13.2,8247.4
7.44,67.6,0.7351,841,-158,159,12.5,8271.5
7.46,67.6,0.7351,839,-158,158,12.1,8271.5
7.48,67.6,0.7342,838,-157,158,11.9,8304.2
7.5,67.6,0.7342,837,-156,157,12,8304.9
7.52,67.6,0.7334,836,-156,157,12.2,8332.6
7.54,67.6,0.7334,834,-155,157,12.7,8332.6
7.56,67.6,0.7324,833,-154,157,13.4,8366.8
7.58,67.6,0.7324,832,-154,157,14.1,8367.5
7.6,67.6,0.7316,831,-153,157,14.9,8395.3
7.62,67.6,0.7316,829,-153,157,15.7,8394.6
7.64,67.6,0.7307,828,-152,158,16.5,8427.4
7.66,67.6,0.7307,826,-152,158,17.3,8427.4
7.68,67.6,0.7299,825,-152,158,17.9,8455.2
7.7,67.6,0.7299,823,-152,159,18.5,8455.9
7.72,67.6,0.7292,822,-152,159,19,8481.6
7.74,67.6,0.7292,821,-152,159,19.3,8482.4
7.76,67.6,0.7283,819,-152,159,19.5,8515.3
7.78,67.6,0.7283,818,-152,160,19.7,8515.3
7.8,67.6,0.7274,816,-153,160,19.6,8544.6
7.82,67.6,0.7274,815,-153,160,19.4,8544.6
7.84,67.6,0.7266,813,-154,160,19.1,8576.1
7.86,67.6,0.7266,812,-154,159,18.6,8576.1
7.88,67.6,0.7259,811,-154,159,18.1,8599.1
7.9,67.6,0.7259,809,-155,159,17.4,8599.1
7.92,67.6,0.7251,808,-155,158,16.7,8629.2
7.94,67.6,0.7251,807,-155,158,15.9,8629.2
7.96,67.6,0.7242,806,-155,157,15.1,8660.8
7.98,67.6,0.7242,804,-155,156,14.2,8660.8
8,67.6,0.7235,803,-155,156,13.5,8686.7
8.02,67.6,0.7235,802,-155,155,12.8,8686.7
8.04,67.6,0.7224,801,-155,154,12.3,8724.1
8.06,67.6,0.7224,800,-155,154,11.9,8724.1
8.08,67.6,0.7219,799,-154,153,11.7,8745
8.1,67.6,0.7219,797,-154,153,11.7,8745
8.12,67.6,0.721,796,-153,153,11.9,8774.6
8.14,67.5,0.721,795,-152,152,12.2,8775.3
8.16,67.5,0.7201,794,-152,152,12.7,8808.5
8.18,67.5,0.7201,793,-151,152,13.4,8808.5
8.2,67.5,0.7194,791,-151,152,14.1,8833.1
8.22,67.5,0.7194,790,-150,152,14.8,8833.1
8.24,67.5,0.7185,789,-150,152,15.5,8866.3
8.26,67.5,0.7185,788,-150,153,16.2,8866.3
8.28,67.5,0.7179,786,-149,153,17,8889.5
8.3,67.5,0.7179,785,-149,153,17.5,8889.5
8.32,67.5,0.7171,784,-149,154,18.1,8917.7
8.34,67.5,0.7171,782,-149,154,18.5,8917.7
8.36,67.5,0.7163,781,-149,154,18.9,8944.5
8.38,67.5,0.7163,780,-149,154,19.1,8944.5
8.4,67.5,0.7156,778,-149,155,19.2,8972.1
8.42,67.5,0.7156,777,-150,155,19.3,8972.1
8.44,67.5,0.7148,775,-150,155,19.2,9000.4
8.46,67.5,0.7148,774,-150,155,19,9000.4
8.48,67.5,0.714,773,-150,155,18.8,9030.9
8.5,67.5,0.714,772,-151,154,18.4,9030.9
8.52,67.5,0.7132,770,-151,154,18,9059.3
8.54,67.5,0.7132,769,-151,154,17.5,9060
8.56,67.5,0.7125,768,-152,153,16.9,9082.6
8.58,67.5,0.7125,767,-152,153,16.3,9082.6
8.6,67.5,0.7118,766,-152,152,15.6,9109.5
8.62,67.5,0.7118,764,-152,152,14.9,9108.8
8.64,67.5,0.711,763,-152,151,14.2,9137.2
8.66,67.5,0.711,762,-152,151,13.6,9138
8.68,67.5,0.7103,761,-152,150,13,9164.2
8.7,67.5,0.7103,760,-152,150,12.6,9164.2
8.72,67.5,0.7094,759,-151,149,12.2,9196.4
8.74,67.5,0.7094,758,-151,149,12,9196.4
8.76,67.5,0.7087,757,-151,149,11.9,9223.4
8.78,67.5,0.7087,756,-150,148,12,9223.4
8.8,67.5,0.708,754,-150,148,12.3,9249.8
8.82,67.5,0.7079,753,-149,148,12.6,9250.5
8.84,67.5,0.7071,752,-149,148,13.1,9282.7
8.86,67.5,0.7071,751,-148,148,13.7,9282
8.88,67.5,0.7065,750,-148,148,14.3,9301.8
8.9,67.5,0.7065,749,-148,148,14.9,9301.8
8.92,67.5,0.7057,748,-147,148,15.5,9334.1
8.94,67.5,0.7057,746,-147,148,16.2,9334.1
8.96,67.5,0.705,745,-147,148,16.7,9359
8.98,67.5,0.705,744,-146,149,17.3,9359
9,67.5,0.7042,743,-146,149,17.8,9387.7
9.02,67.5,0.7042,741,-146,149,18.2,9387.7
9.04,67.5,0.7036,740,-146,149,18.6,9409
9.06,67.5,0.7036,739,-146,149,19,9409.8
9.08,67.5,0.7029,738,-146,149,19.2,9434.8
9.1,67.5,0.7029,736,-147,150,19.4,9434.8
9.12,67.5,0.7022,735,-147,150,19.5,9461.3
9.14,67.5,0.7022,734,-147,150,19.4,9461.3
9.16,67.5,0.7015,733,-147,150,19.3,9488.6
9.18,67.5,0.7015,731,-147,150,19.1,9488.6
9.2,67.5,0.7009,730,-148,149,18.9,9510
9.22,67.5,0.7009,729,-148,149,18.6,9510
9.24,67.5,0.6999,728,-148,149,18.1,9546.2
9.26,67.5,0.6999,727,-148,149,17.7,9546.2
9.28,67.5,0.6993,726,-149,148,17.1,9567.6
9.3,67.5,0.6993,724,-149,148,16.6,9567.6
9.32,67.5,0.6986,723,-149,148,16,9595
9.34,67.5,0.6986,722,-149,147,15.5,9595
9.36,67.5,0.698,721,-149,147,14.9,9617.9
9.38,67.5,0.6979,720,-149,146,14.3,9618.6
9.4,67.5,0.6972,719,-149,146,13.8,9647.5
9.42,67.5,0.6972,718,-148,145,13.4,9647.5
9.44,67.5,0.6965,717,-148,145,13,9672.7
9.46,67.5,0.6965,716,-148,145,12.8,9672.7
9.48,67.5,0.6959,715,-148,144,12.6,9695.7
9.5,67.5,0.6958,714,-147,144,12.6,9696.5
9.52,67.5,0.6951,713,-147,144,12.8,9723.2
9.54,67.5,0.6951,712,-146,144,13,9723.2
9.56,67.5,0.6944,711,-146,143,13.3,9748.5
9.58,67.5,0.6944,710,-146,143,13.7,9748.5
9.6,67.5,0.6938,708,-145,143,14.2,9773.8
9.62,67.5,0.6938,707,-145,143,14.8,9773.8
9.64,67.5,0.6931,706,-145,143,15.3,9799.8
9.66,67.5,0.6931,705,-144,144,15.9,9799.8
9.68,67.5,0.6924,704,-144,144,16.5,9825.2
9.7,67.5,0.6924,703,-144,144,17,9825.2
9.72,67.5,0.6917,702,-144,144,17.6,9852
9.74,67.5,0.6917,700,-144,144,18.1,9852
