	344000	729000	1114000	1499000	1884000	2269000	2654000	3039000	3424000	3809000
1000	29.345	29.346	29.346	29.347	29.347	29.347	29.347	29.347	29.348	29.348
500	29.349	29.35	29.351	29.351	29.352	29.352	29.352	29.352	29.352	29.353
100	29.373	29.379	29.381	29.383	29.384	29.385	29.386	29.387	29.387	29.388
50	29.36	29.381	29.39	29.396	29.401	29.404	29.406	29.409	29.41	29.412
33.33333333	29.275	29.322	29.345	29.36	29.37	29.378	29.384	29.39	29.394	29.398
25	29.115	29.193	29.232	29.259	29.278	29.292	29.305	29.315	29.323	29.331
20	28.893	29	29.056	29.094	29.123	29.145	29.163	29.179	29.192	29.204
16.66666667	28.629	28.76	28.831	28.879	28.916	28.945	28.969	28.99	29.008	29.023
14.28571429	28.34	28.488	28.57	28.627	28.67	28.705	28.734	28.759	28.78	28.8
12.5	28.034	28.196	28.286	28.349	28.397	28.436	28.469	28.497	28.522	28.544
11.11111111	27.72	27.89	27.987	28.054	28.106	28.148	28.184	28.214	28.241	28.265
10	27.401	27.578	27.678	27.748	27.802	27.846	27.883	27.915	27.944	27.969
9.090909091	27.08	27.26	27.362	27.434	27.49	27.535	27.573	27.606	27.634	27.66
8.333333333	26.758	26.939	27.042	27.114	27.17	27.215	27.254	27.287	27.316	27.342
7.692307692	26.437	26.616	26.718	26.79	26.845	26.89	26.927	26.96	26.989	27.014
7.142857143	26.116	26.292	26.391	26.461	26.515	26.558	26.594	26.626	26.653	26.678
6.666666667	25.795	25.965	26.061	26.128	26.179	26.22	26.254	26.284	26.31	26.333
6.25	25.474	25.636	25.727	25.789	25.837	25.875	25.907	25.935	25.959	25.98
5.882352941	25.152	25.304	25.388	25.446	25.489	25.524	25.553	25.578	25.599	25.618
5.555555556	24.829	24.969	25.045	25.097	25.136	25.167	25.193	25.215	25.233	25.25
5.263157895	24.504	24.632	24.7	24.746	24.78	24.807	24.829	24.847	24.863	24.878
5	24.18	24.294	24.353	24.393	24.422	24.445	24.464	24.48	24.493	24.505
4.761904762	23.857	23.957	24.008	24.042	24.067	24.086	24.102	24.115	24.126	24.136
4.545454545	23.536	23.623	23.667	23.695	23.716	23.732	23.745	23.756	23.765	23.773
4.347826087	23.22	23.294	23.331	23.355	23.373	23.386	23.397	23.405	23.413	23.419
4.166666667	22.909	22.972	23.003	23.023	23.037	23.048	23.057	23.064	23.07	23.075
4	22.605	22.658	22.684	22.7	22.711	22.72	22.727	22.733	22.738	22.742
3.03030303	20.773	20.789	20.797	20.803	20.809	20.813	20.818	20.822	20.826	20.83
2	17.363	17.372	17.381	17.39	17.398	17.406	17.414	17.422	17.43	17.438
1	13.335	13.405	13.465	13.519	13.567	13.611	13.652	13.689	13.725	13.758
0.1	10.385	10.674	10.848	10.975	11.074	11.157	11.227	11.289	11.343	11.392
0.01	10.549	10.826	10.991	11.11	11.202	11.279	11.343	11.4	11.449	11.494
