	344000	729000	1114000	1499000	1884000	2269000	2654000	3039000	3424000	3809000
1000	1.2726	1.2733	1.2736	1.2737	1.2738	1.2739	1.274	1.274	1.2741	1.2741
500	1.2698	1.2706	1.271	1.2712	1.2713	1.2714	1.2715	1.2716	1.2717	1.2717
100	1.2468	1.2496	1.2509	1.2516	1.2522	1.2526	1.2529	1.2531	1.2534	1.2536
50	1.2165	1.2224	1.2252	1.227	1.2283	1.2293	1.2301	1.2307	1.2312	1.2317
33.33333333	1.1887	1.1964	1.2004	1.2031	1.205	1.2066	1.2078	1.2089	1.2097	1.2105
25	1.1678	1.1754	1.1797	1.1826	1.1848	1.1866	1.188	1.1893	1.1904	1.1913
20	1.1541	1.1607	1.1646	1.1673	1.1694	1.1711	1.1725	1.1738	1.1749	1.1758
16.66666667	1.1454	1.1511	1.1545	1.1568	1.1587	1.1602	1.1615	1.1626	1.1636	1.1645
14.28571429	1.14	1.145	1.1479	1.15	1.1516	1.153	1.1541	1.1551	1.156	1.1567
12.5	1.1366	1.1412	1.1438	1.1457	1.1472	1.1483	1.1493	1.1502	1.151	1.1517
11.11111111	1.1346	1.1389	1.1414	1.1431	1.1444	1.1455	1.1465	1.1472	1.148	1.1486
10	1.1336	1.1378	1.1401	1.1417	1.143	1.144	1.1449	1.1457	1.1463	1.1469
9.090909091	1.1333	1.1374	1.1397	1.1413	1.1426	1.1436	1.1444	1.1452	1.1458	1.1464
8.333333333	1.1336	1.1378	1.1401	1.1418	1.143	1.1441	1.1449	1.1457	1.1463	1.1469
7.692307692	1.1345	1.1388	1.1413	1.143	1.1443	1.1454	1.1463	1.1471	1.1478	1.1485
7.142857143	1.136	1.1406	1.1433	1.1452	1.1466	1.1478	1.1488	1.1497	1.1505	1.1512
6.666666667	1.1383	1.1434	1.1463	1.1484	1.1501	1.1514	1.1526	1.1536	1.1545	1.1553
6.25	1.1415	1.1472	1.1506	1.153	1.1549	1.1565	1.1579	1.1591	1.1602	1.1611
5.882352941	1.1458	1.1524	1.1563	1.1592	1.1614	1.1633	1.1649	1.1663	1.1676	1.1687
5.555555556	1.1515	1.1591	1.1636	1.1669	1.1696	1.1717	1.1736	1.1752	1.1766	1.1779
5.263157895	1.1586	1.1672	1.1724	1.1761	1.179	1.1815	1.1835	1.1853	1.1869	1.1883
5	1.1668	1.1765	1.1821	1.1862	1.1893	1.1919	1.1941	1.1959	1.1976	1.199
4.761904762	1.176	1.1864	1.1924	1.1966	1.1998	1.2024	1.2046	1.2065	1.2081	1.2095
4.545454545	1.1856	1.1964	1.2026	1.2068	1.21	1.2126	1.2147	1.2165	1.2181	1.2195
4.347826087	1.1953	1.2063	1.2124	1.2166	1.2197	1.2222	1.2242	1.2259	1.2274	1.2287
4.166666667	1.2048	1.2159	1.2218	1.2259	1.2288	1.2312	1.2331	1.2347	1.2361	1.2373
4	1.2142	1.2251	1.2309	1.2347	1.2375	1.2397	1.2415	1.243	1.2443	1.2454
3.03030303	1.2249	1.2274	1.2285	1.2291	1.2295	1.2298	1.23	1.2301	1.2302	1.2303
2	1.238	1.2385	1.2385	1.2385	1.2383	1.2382	1.238	1.2378	1.2377	1.2375
1	1.2196	1.2146	1.2111	1.2085	1.2064	1.2046	1.2031	1.2018	1.2006	1.1996
0.1	1.1225	1.1199	1.118	1.1165	1.1153	1.1142	1.1133	1.1124	1.1116	1.1109
0.01	1.1161	1.1128	1.1106	1.1089	1.1075	1.1063	1.1053	1.1044	1.1036	1.1029
