0.7099996, 0, 0, 26.96086, 3.810776, 0, 603.0749, -2600.255, -4.276543, 0.01823969, 0.1523926, 31.56257, 3.432657, 2.795249, 92.08964
 
0.7199996, -0.07628277, 0, 27.31652, 3.809931, 3.0905704963507357134204542490, 621.7799, -2600.314, -4.276543, 0.01823969, 0.1523926, 32.04872, 2.995653, 2.795204, 92.10234
 
0.7299996, -0.07880404, -0.0007628277, 27.67349, 3.810128, 3.0393388327112873296113602015, 640.7847, -2600.374, -4.276543, 0.01823969, 0.1523926, 32.53524, 3.000101, 2.795159, 92.11504
 
0.7399996, -0.081327, -0.001550868, 28.02967, 3.809282, 2.9894985572602430480341066300, 660.0894, -2600.433, -4.276543, 0.01823969, 0.1523926, 33.02213, 3.004486, 2.795114, 92.12775
 
0.7499996, -0.08385088, -0.002364138, 28.38612, 3.808436, 2.9409803892580020252109962787, 679.6949, -2600.493, -4.276543, 0.01823969, 0.1523926, 33.50939, 3.008811, 2.795069, 92.14046
 
0.7599996, -0.08637423, -0.003202647, 28.74279, 3.80759, 2.8937208213597918336995845058, 699.6003, -2600.552, -4.276543, 0.01823969, 0.1523926, 33.99699, 3.013078, 2.795024, 92.15316
 
0.7699996, -0.08889588, -0.004066389, 29.10073, 3.807787, 2.8476606762671995106264921052, 719.8055, -2600.612, -4.276543, 0.01823969, 0.1523926, 34.48491, 3.017289, 2.794979, 92.16586
 
0.7799996, -0.09141494, -0.004955348, 29.45784, 3.806941, 2.8027451067279406218884952701, 740.3105, -2600.672, -4.276543, 0.01823969, 0.1523926, 34.97313, 3.021446, 2.794934, 92.17857
 
0.7899995, -0.09392989, -0.005869497, 29.81516, 3.806095, 2.7589192654897884673320977027, 761.1154, -2600.731, -4.276543, 0.01823969, 0.1523926, 35.46166, 3.025551, 2.794889, 92.19128
 
0.7999995, -0.09643969, -0.006808796, 30.17373, 3.806291, 2.7161326353467314764985497680, 782.2213, -2600.791, -4.276543, 0.01823969, 0.1523926, 35.9505, 3.029606, 2.794845, 92.20398
 
0.8099995, -0.09894326, -0.007773193, 30.53144, 3.805446, 2.6743361424414868331690628005, 803.6271, -2600.85, -4.276543, 0.01823969, 0.1523926, 36.43961, 3.033613, 2.7948, 92.21668
 
0.8199995, -0.1014392, -0.008762626, 30.88934, 3.804599, 2.6334850429630734517441860613, 825.3328, -2600.91, -4.276543, 0.01823969, 0.1523926, 36.92899, 3.037575, 2.794755, 92.22939
 
0.8299995, -0.1039262, -0.009777018, 31.2474, 3.803752, 2.5935345931003659117501500387, 847.3383, -2600.969, -4.276543, 0.01823969, 0.1523926, 37.41863, 3.041491, 2.79471, 92.2421
 
0.8399995, -0.1064032, -0.01081628, 31.60668, 3.80395, 2.5544472657860990662244682272, 869.6437, -2601.029, -4.276543, 0.01823969, 0.1523926, 37.90851, 3.045366, 2.794665, 92.2548
 
0.8499995, -0.1088688, -0.01188031, 31.96507, 3.803102, 2.5161812039067060375853161950, 892.2488, -2601.089, -4.276543, 0.01823969, 0.1523926, 38.39864, 3.049199, 2.79462, 92.2675
 
0.8599995, -0.1113223, -0.012969, 32.32364, 3.802255, 2.4786988803948639449204799274, 915.1553, -2601.148, -4.276543, 0.01823969, 0.1523926, 38.88903, 3.052994, 2.794575, 92.28021
 
0.8699995, -0.1137617, -0.01408222, 32.68235, 3.801408, 2.4419613248345067195903525632, 938.3618, -2601.208, -4.276543, 0.01823969, 0.1523926, 39.37964, 3.056753, 2.79453, 92.29292
 
0.8799995, -0.1161858, -0.01521984, 33.04225, 3.801605, 2.4059382269020274193196843216, 961.8682, -2601.268, -4.276543, 0.01823969, 0.1523926, 39.87047, 3.060476, 2.794486, 92.30562
 
0.8899994, -0.1185935, -0.0163817, 33.40124, 3.800758, 2.3705978329250759141058325749, 985.6743, -2601.327, -4.276543, 0.01823969, 0.1523926, 40.36151, 3.064165, 2.794441, 92.31833
 
0.8999994, -0.120983, -0.01756763, 33.7614, 3.800954, 2.3359069458825588862187618486, 1009.781, -2601.387, -4.276543, 0.01823969, 0.1523926, 40.85275, 3.067822, 2.794396, 92.33103
 
0.9099994, -0.1233539, -0.01877746, 34.11961, 3.799063, 2.3018352554508693933832223618, 1034.187, -2601.446, -4.276543, 0.01823969, 0.1523926, 41.3442, 3.071449, 2.794351, 92.34373
 
0.9199994, -0.1257036, -0.020011, 34.48001, 3.79926, 2.2683567813526300565061428737, 1058.893, -2601.506, -4.276543, 0.01823969, 0.1523926, 41.83583, 3.075048, 2.794306, 92.35644
 
0.9299994, -0.1280313, -0.02126804, 34.8395, 3.798413, 2.2354426566129771210396664500, 1083.899, -2601.565, -4.276543, 0.01823969, 0.1523926, 42.32766, 3.078619, 2.794261, 92.36915
 
0.9399994, -0.1303352, -0.02254835, 35.20014, 3.798609, 2.2030669009545332078907218500, 1109.205, -2601.625, -4.276543, 0.01823969, 0.1523926, 42.81967, 3.082165, 2.794216, 92.38185
 
0.9499994, -0.1326144, -0.0238517, 35.5588, 3.796718, 2.1712049774486641256936306794, 1134.811, -2601.685, -4.276543, 0.01823969, 0.1523926, 43.31186, 3.085687, 2.794171, 92.39455
 
0.9599994, -0.134866, -0.02517785, 35.92069, 3.797957, 2.1398337925154788708101073911, 1160.716, -2601.744, -4.276543, 0.01823969, 0.1523926, 43.80421, 3.089187, 2.794127, 92.40726
 
0.9699994, -0.1370906, -0.02652651, 36.27956, 3.796066, 2.1089273658776000641470807440, 1186.922, -2601.804, -4.276543, 0.01823969, 0.1523926, 44.29674, 3.092666, 2.794081, 92.41997
 
