0.7099996, 0, 0, 24.71528, 3.588046, 0, 564.1221, -2485.216, -4.276543, 0.01823969, 0.1523926, 30.91949, 3.371785, 2.795944, 89.39841
 
0.7199996, -0.04960249, 0, 25.05527, 3.587214, 1.0444839130186636286231647262, 582.4656, -2485.258, -4.276543, 0.01823969, 0.1523926, 31.41858, 3.195581, 2.795909, 89.41083
 
0.7299996, -0.05049745, -0.0004960248, 25.39627, 3.587363, 1.0269602894246542524216364003, 601.1035, -2485.3, -4.276543, 0.01823969, 0.1523926, 31.91772, 3.198044, 2.795874, 89.42325
 
0.7399996, -0.05138267, -0.001000999, 25.73628, 3.586532, 1.0099014106929966028998616527, 620.0346, -2485.342, -4.276543, 0.01823969, 0.1523926, 32.41687, 3.200454, 2.795839, 89.43567
 
0.7499996, -0.05225765, -0.001514826, 26.07629, 3.585699, 0.9932828849349523440923503112, 639.2599, -2485.385, -4.276543, 0.01823969, 0.1523926, 32.91606, 3.202816, 2.795804, 89.44809
 
0.7599996, -0.05312197, -0.002037402, 26.41632, 3.584866, 0.9770819078995116707769281319, 658.7794, -2485.427, -4.276543, 0.01823969, 0.1523926, 33.41529, 3.205131, 2.795768, 89.46051
 
0.7699996, -0.05397504, -0.002568622, 26.75733, 3.585016, 0.9612765413198788966480218038, 678.593, -2485.469, -4.276543, 0.01823969, 0.1523926, 33.91455, 3.207401, 2.795733, 89.47292
 
0.7799996, -0.0548164, -0.003108372, 27.09736, 3.584183, 0.9458452799213733330470011363, 698.7009, -2485.51, -4.276543, 0.01823969, 0.1523926, 34.41385, 3.209629, 2.795698, 89.48534
 
0.7899995, -0.05564544, -0.003656536, 27.4374, 3.58335, 0.9307684947284335763961681199, 719.1027, -2485.553, -4.276543, 0.01823969, 0.1523926, 34.91318, 3.211817, 2.795663, 89.49776
 
0.7999995, -0.05646162, -0.004212991, 27.77843, 3.583499, 0.9160291547181593428589647257, 739.7986, -2485.595, -4.276543, 0.01823969, 0.1523926, 35.41255, 3.213967, 2.795628, 89.51019
 
0.8099995, -0.05726448, -0.004777607, 28.11848, 3.582667, 0.9016090742220223824322007462, 760.7885, -2485.637, -4.276543, 0.01823969, 0.1523926, 35.91195, 3.21608, 2.795593, 89.52261
 
0.8199995, -0.0580532, -0.005350252, 28.45851, 3.581834, 0.8874917995399255695599397139, 782.071, -2485.679, -4.276543, 0.01823969, 0.1523926, 36.41134, 3.218159, 2.795558, 89.53502
 
0.8299995, -0.0588274, -0.005930784, 28.79853, 3.581001, 0.8736633305937230881883176451, 803.6475, -2485.721, -4.276543, 0.01823969, 0.1523926, 36.91077, 3.220204, 2.795523, 89.54744
 
0.8399995, -0.05958639, -0.006519058, 29.13955, 3.58115, 0.8601077910061209710420196336, 825.5178, -2485.763, -4.276543, 0.01823969, 0.1523926, 37.41022, 3.222219, 2.795488, 89.55986
 
